,0,1
0,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing.,"Nihar Bhadresh Shah,Denny Zhou,"
1,Learning with Symmetric Label Noise: The Importance of Being Unhinged.,"Brendan van Rooyen,Aditya Krishna Menon,Robert C. Williamson,"
2,Algorithmic Stability and Uniform Generalization.,"Ibrahim M. Alabdulmohsin,"
3,Adaptive Low-Complexity Sequential Inference for Dirichlet Process Mixture Models.,"Theodoros Tsiligkaridis,Keith W. Forsythe,"
4,Covariance-Controlled Adaptive Langevin Thermostat for Large-Scale Bayesian Sampling.,"Xiaocheng Shang,Zhanxing Zhu,Benedict J. Leimkuhler,Amos J. Storkey,"
5,Robust Portfolio Optimization.,"Huitong Qiu,Fang Han,Han Liu,Brian Caffo,"
6,Logarithmic Time Online Multiclass prediction.,"Anna Choromanska,John Langford,"
7,Planar Ultrametrics for Image Segmentation.,"Julian Yarkony,Charless C. Fowlkes,"
8,Expressing an Image Stream with a Sequence of Natural Sentences.,"Cesc C. Park,Gunhee Kim,"
9,Parallel Correlation Clustering on Big Graphs.,"Xinghao Pan,Dimitris S. Papailiopoulos,Samet Oymak,Benjamin Recht,Kannan Ramchandran,Michael I. Jordan,"
10,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks.,"Shaoqing Ren,Kaiming He,Ross B. Girshick,Jian Sun,"
11,Space-Time Local Embeddings.,"Ke Sun,Jun Wang,Alexandros Kalousis,Stéphane Marchand-Maillet,"
12,A Convergent Gradient Descent Algorithm for Rank Minimization and Semidefinite Programming from Random Linear Measurements.,"Qinqing Zheng,John D. Lafferty,"
13,Smooth Interactive Submodular Set Cover.,"Bryan D. He,Yisong Yue,"
14,Galileo: Perceiving Physical Object Properties by Integrating a Physics Engine with Deep Learning.,"Jiajun Wu,Ilker Yildirim,Joseph J. Lim,Bill Freeman,Joshua B. Tenenbaum,"
15,On the Pseudo-Dimension of Nearly Optimal Auctions.,"Jamie Morgenstern,Tim Roughgarden,"
16,Unlocking neural population non-stationarities using hierarchical dynamics models.,"Mijung Park,Gergo Bohner,Jakob H. Macke,"
17,Bayesian Manifold Learning: The Locally Linear Latent Variable Model (LL-LVM).,"Mijung Park,Wittawat Jitkrittum,Ahmad Qamar,Zoltán Szabó,Lars Buesing,Maneesh Sahani,"
18,Color Constancy by Learning to Predict Chromaticity from Luminance.,"Ayan Chakrabarti,"
19,Fast and Accurate Inference of Plackett-Luce Models.,"Lucas Maystre,Matthias Grossglauser,"
20,Probabilistic Line Searches for Stochastic Optimization.,"Maren Mahsereci,Philipp Hennig,"
