,0,1
0,A graph similarity for deep learning.,"Seongmin Ok,"
1,An Unsupervised Information-Theoretic Perceptual Quality Metric.,"Sangnie Bhardwaj,Ian Fischer,Johannes Ballé,Troy T. Chinen,"
2,Self-Supervised MultiModal Versatile Networks.,"Jean-Baptiste Alayrac,Adrià Recasens,Rosalia Schneider,Relja Arandjelovic,Jason Ramapuram,Jeffrey De Fauw,Lucas Smaira,Sander Dieleman,Andrew Zisserman,"
3,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method.","Simiao Ren,Willie Padilla,Jordan M. Malof,"
4,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift.,"Masatoshi Uehara,Masahiro Kato,Shota Yasui,"
5,Neural Methods for Point-wise Dependency Estimation.,"Yao-Hung Hubert Tsai,Han Zhao,Makoto Yamada,Louis-Philippe Morency,Russ R. Salakhutdinov,"
6,Fast and Flexible Temporal Point Processes with Triangular Maps.,"Oleksandr Shchur,Nicholas Gao,Marin Bilos,Stephan Günnemann,"
7,Backpropagating Linearly Improves Transferability of Adversarial Examples.,"Yiwen Guo,Qizhang Li,Hao Chen,"
8,PyGlove: Symbolic Programming for Automated Machine Learning.,"Daiyi Peng,Xuanyi Dong,Esteban Real,Mingxing Tan,Yifeng Lu,Gabriel Bender,Hanxiao Liu,Adam Kraft,Chen Liang,Quoc Le,"
9,Fourier Sparse Leverage Scores and Approximate Kernel Learning.,"Tamás Erdélyi,Cameron Musco,Christopher Musco,"
10,Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds.,"Nicholas J. A. Harvey,Christopher Liaw,Tasuku Soma,"
11,Synbols: Probing Learning Algorithms with Synthetic Datasets.,"Alexandre Lacoste,Pau Rodríguez López,Frederic Branchaud-Charron,Parmida Atighehchian,Massimo Caccia,Issam Hadj Laradji,Alexandre Drouin,Matt Craddock,Laurent Charlin,David Vázquez,"
12,Adversarially Robust Streaming Algorithms via Differential Privacy.,"Avinatan Hassidim,Haim Kaplan,Yishay Mansour,Yossi Matias,Uri Stemmer,"
13,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering.,"Long Chen,Yuan Yao,Feng Xu,Miao Xu,Hanghang Tong,"
14,Cascaded Text Generation with Markov Transformers.,"Yuntian Deng,Alexander M. Rush,"
15,Improving Local Identifiability in Probabilistic Box Embeddings.,"Shib Sankar Dasgupta,Michael Boratko,Dongxu Zhang,Luke Vilnis,Xiang Li,Andrew McCallum,"
16,Permute-and-Flip: A new mechanism for differentially private selection.,"Ryan McKenna,Daniel R. Sheldon,"
17,Deep reconstruction of strange attractors from time series.,"William Gilpin,"
18,Reciprocal Adversarial Learning via Characteristic Functions.,"Shengxi Li,Zeyang Yu,Min Xiang,Danilo P. Mandic,"
19,Statistical Guarantees of Distributed Nearest Neighbor Classification.,"Jiexin Duan,Xingye Qiao,Guang Cheng,"
20,Stein Self-Repulsive Dynamics: Benefits From Past Samples.,"Mao Ye,Tongzheng Ren,Qiang Liu,"
21,The Statistical Complexity of Early-Stopped Mirror Descent.,"Tomas Vaskevicius,Varun Kanade,Patrick Rebeschini,"
22,Algorithmic recourse under imperfect causal knowledge: a probabilistic approach.,"Amir-Hossein Karimi,Bodo Julius von Kügelgen,Bernhard Schölkopf,Isabel Valera,"
23,Quantitative Propagation of Chaos for SGD in Wide Neural Networks.,"Valentin De Bortoli,Alain Durmus,Xavier Fontaine,Umut Simsekli,"
24,A Causal View on Robustness of Neural Networks.,"Cheng Zhang,Kun Zhang,Yingzhen Li,"
25,Minimax Classification with 0-1 Loss and Performance Guarantees.,"Santiago Mazuelas,Andrea Zanoni,Aritz Pérez,"
26,How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization.,"Pierluca D'Oro,Wojciech Jaskowski,"
27,Coresets for Regressions with Panel Data.,"Lingxiao Huang,K. Sudhir,Nisheeth K. Vishnoi,"
28,Learning Composable Energy Surrogates for PDE Order Reduction.,"Alex Beatson,Jordan T. Ash,Geoffrey Roeder,Tianju Xue,Ryan P. Adams,"
29,Efficient Contextual Bandits with Continuous Actions.,"Maryam Majzoubi,Chicheng Zhang,Rajan Chari,Akshay Krishnamurthy,John Langford,Aleksandrs Slivkins,"
30,Achieving Equalized Odds by Resampling Sensitive Attributes.,"Yaniv Romano,Stephen Bates,Emmanuel J. Candès,"
31,Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates.,"Wenhao Luo,Wen Sun,Ashish Kapoor,"
32,Hard Shape-Constrained Kernel Machines.,"Pierre-Cyril Aubin-Frankowski,Zoltán Szabó,"
33,A Closer Look at the Training Strategy for Modern Meta-Learning.,"Jiaxin Chen,Xiao-Ming Wu,Yanke Li,Qimai LI,Li-Ming Zhan,Fu-Lai Chung,"
34,On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law.,"Damien Teney,Ehsan Abbasnejad,Kushal Kafle,Robik Shrestha,Christopher Kanan,Anton van den Hengel,"
35,Generalised Bayesian Filtering via Sequential Monte Carlo.,"Ayman Boustati,Ömer Deniz Akyildiz,Theodoros Damoulas,Adam M. Johansen,"
36,Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time.,"Kai Han,Zongmai Cao,Shuang Cui,Benwei Wu,"
37,Flows for simultaneous manifold learning and density estimation.,"Johann Brehmer,Kyle Cranmer,"
38,Simultaneous Preference and Metric Learning from Paired Comparisons.,"Austin Xu,Mark A. Davenport,"
39,Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee.,"Jincheng Bai,Qifan Song,Guang Cheng,"
40,Learning Manifold Implicitly via Explicit Heat-Kernel Learning.,"Yufan Zhou,Changyou Chen,Jinhui Xu,"
41,Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network.,"Chaojie Wang,Hao Zhang,Bo Chen,Dongsheng Wang,Zhengjue Wang,Mingyuan Zhou,"
42,One-bit Supervision for Image Classification.,"Hengtong Hu,Lingxi Xie,Zewei Du,Richang Hong,Qi Tian,"
43,What is being transferred in transfer learning?,"Behnam Neyshabur,Hanie Sedghi,Chiyuan Zhang,"
44,Submodular Maximization Through Barrier Functions.,"Ashwinkumar Badanidiyuru,Amin Karbasi,Ehsan Kazemi,Jan Vondrák,"
45,Neural Networks with Recurrent Generative Feedback.,"Yujia Huang,James Gornet,Sihui Dai,Zhiding Yu,Tan M. Nguyen,Doris Y. Tsao,Anima Anandkumar,"
46,Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction.,"Jinheon Baek,Dong Bok Lee,Sung Ju Hwang,"
