,0,1
0,The Randomized Dependence Coefficient.,"David López-Paz,Philipp Hennig,Bernhard Schölkopf,"
1,Documents as multiple overlapping windows into grids of counts.,"Alessandro Perina,Nebojsa Jojic,Manuele Bicego,Andrzej Truski,"
2,Reciprocally Coupled Local Estimators Implement Bayesian Information Integration Distributively.,"Wenhao Zhang,Si Wu,"
3,Latent Maximum Margin Clustering.,"Guang-Tong Zhou,Tian Lan,Arash Vahdat,Greg Mori,"
4,Data-driven Distributionally Robust Polynomial Optimization.,"Martin Mevissen,Emanuele Ragnoli,Jia Yuan Yu,"
5,Transfer Learning in a Transductive Setting.,"Marcus Rohrbach,Sandra Ebert,Bernt Schiele,"
6,Bayesian optimization explains human active search.,"Ali Borji,Laurent Itti,"
7,Provable Subspace Clustering: When LRR meets SSC.,"Yu-Xiang Wang,Huan Xu,Chenlei Leng,"
8,Generalized Random Utility Models with Multiple Types.,"Hossein Azari Soufiani,Hansheng Diao,Zhenyu Lai,David C. Parkes,"
9,Polar Operators for Structured Sparse Estimation.,"Xinhua Zhang,Yaoliang Yu,Dale Schuurmans,"
10,On Decomposing the Proximal Map.,"Yaoliang Yu,"
11,Point Based Value Iteration with Optimal Belief Compression for Dec-POMDPs.,"Liam MacDermed,Charles L. Isbell Jr.,"
12,PAC-Bayes-Empirical-Bernstein Inequality.,"Ilya O. Tolstikhin,Yevgeny Seldin,"
13,Modeling Clutter Perception using Parametric Proto-object Partitioning.,"Chen-Ping Yu,Wen-Yu Hua,Dimitris Samaras,Gregory J. Zelinsky,"
14,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching.,"Marcelo Fiori,Pablo Sprechmann,Joshua T. Vogelstein,Pablo Musé,Guillermo Sapiro,"
15,Transportability from Multiple Environments with Limited Experiments.,"Elias Bareinboim,Sanghack Lee,Vasant G. Honavar,Judea Pearl,"
16,More data speeds up training time in learning halfspaces over sparse vectors.,"Amit Daniely,Nati Linial,Shai Shalev-Shwartz,"
