,0,1
0,"Wider and Deeper, Cheaper and Faster: Tensorized LSTMs for Sequence Learning.","Zhen He,Shaobing Gao,Liang Xiao,Daxue Liu,Hangen He,David Barber,"
1,Concentration of Multilinear Functions of the Ising Model with Applications to Network Data.,"Constantinos Daskalakis,Nishanth Dikkala,Gautam Kamath,"
2,Deep Subspace Clustering Networks.,"Pan Ji,Tong Zhang,Hongdong Li,Mathieu Salzmann,Ian D. Reid,"
3,Attentional Pooling for Action Recognition.,"Rohit Girdhar,Deva Ramanan,"
4,On the Consistency of Quick Shift.,"Heinrich Jiang,"
5,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization.,"Fabian Pedregosa,Rémi Leblond,Simon Lacoste-Julien,"
6,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis.,"Jian Zhao,Lin Xiong,Jayashree Karlekar,Jianshu Li,Fang Zhao,Zhecan Wang,Sugiri Pranata,Shengmei Shen,Shuicheng Yan,Jiashi Feng,"
7,Dilated Recurrent Neural Networks.,"Shiyu Chang,Yang Zhang,Wei Han,Mo Yu,Xiaoxiao Guo,Wei Tan,Xiaodong Cui,Michael J. Witbrock,Mark A. Hasegawa-Johnson,Thomas S. Huang,"
8,"Hunt For The Unique, Stable, Sparse And Fast Feature Learning On Graphs.","Saurabh Verma,Zhi-Li Zhang,"
9,Scalable Generalized Linear Bandits: Online Computation and Hashing.,"Kwang-Sung Jun,Aniruddha Bhargava,Robert D. Nowak,Rebecca Willett,"
10,Probabilistic Models for Integration Error in the Assessment of Functional Cardiac Models.,"Chris J. Oates,Steven A. Niederer,Angela W. C. Lee,François-Xavier Briol,Mark A. Girolami,"
11,Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent.,"Peva Blanchard,El Mahdi El Mhamdi,Rachid Guerraoui,Julien Stainer,"
12,Dynamic Safe Interruptibility for Decentralized Multi-Agent Reinforcement Learning.,"El Mahdi El Mhamdi,Rachid Guerraoui,Hadrien Hendrikx,Alexandre Maurer,"
13,Interactive Submodular Bandit.,"Lin Chen,Andreas Krause,Amin Karbasi,"
14,Learning to See Physics via Visual De-animation.,"Jiajun Wu,Erika Lu,Pushmeet Kohli,Bill Freeman,Josh Tenenbaum,"
15,Label Efficient Learning of Transferable Representations acrosss Domains and Tasks.,"Zelun Luo,Yuliang Zou,Judy Hoffman,Fei-Fei Li,"
16,Decoding with Value Networks for Neural Machine Translation.,"Di He,Hanqing Lu,Yingce Xia,Tao Qin,Liwei Wang,Tie-Yan Liu,"
17,Parametric Simplex Method for Sparse Learning.,"Haotian Pang,Han Liu,Robert J. Vanderbei,Tuo Zhao,"
18,Group Sparse Additive Machine.,"Hong Chen,Xiaoqian Wang,Cheng Deng,Heng Huang,"
19,Uprooting and Rerooting Higher-Order Graphical Models.,"Mark Rowland,Adrian Weller,"
20,The Unreasonable Effectiveness of Structured Random Orthogonal Embeddings.,"Krzysztof Marcin Choromanski,Mark Rowland,Adrian Weller,"
21,From Parity to Preference-based Notions of Fairness in Classification.,"Muhammad Bilal Zafar,Isabel Valera,Manuel Gomez-Rodriguez,Krishna P. Gummadi,Adrian Weller,"
22,Inferring Generative Model Structure with Static Analysis.,"Paroma Varma,Bryan D. He,Payal Bajaj,Nishith Khandwala,Imon Banerjee,Daniel L. Rubin,Christopher Ré,"
23,Structured Embedding Models for Grouped Data.,"Maja R. Rudolph,Francisco J. R. Ruiz,Susan Athey,David M. Blei,"
24,A Linear-Time Kernel Goodness-of-Fit Test.,"Wittawat Jitkrittum,Wenkai Xu,Zoltán Szabó,Kenji Fukumizu,Arthur Gretton,"
25,Cortical microcircuits as gated-recurrent neural networks.,"Rui Ponte Costa,Ioannis Alexandros M. Assael,Brendan Shillingford,Nando de Freitas,Tim P. Vogels,"
26,k-Support and Ordered Weighted Sparsity for Overlapping Groups: Hardness and Algorithms.,"Cong Han Lim,Stephen J. Wright,"
27,A simple model of recognition and recall memory.,"Nisheeth Srivastava,Edward Vul,"
28,On Structured Prediction Theory with Calibrated Convex Surrogate Losses.,"Anton Osokin,Francis R. Bach,Simon Lacoste-Julien,"
29,Best of Both Worlds: Transferring Knowledge from Discriminative Learning to a Generative Visual Dialog Model.,"Jiasen Lu,Anitha Kannan,Jianwei Yang,Devi Parikh,Dhruv Batra,"
30,MaskRNN: Instance Level Video Object Segmentation.,"Yuan-Ting Hu,Jia-Bin Huang,Alexander G. Schwing,"
31,Gated Recurrent Convolution Neural Network for OCR.,"Jianfeng Wang,Xiaolin Hu,"
32,Towards Accurate Binary Convolutional Neural Network.,"Xiaofan Lin,Cong Zhao,Wei Pan,"
33,Semi-Supervised Learning for Optical Flow with Generative Adversarial Networks.,"Wei-Sheng Lai,Jia-Bin Huang,Ming-Hsuan Yang,"
34,Learning a Multi-View Stereo Machine.,"Abhishek Kar,Christian Häne,Jitendra Malik,"
35,Phase Transitions in the Pooled Data Problem.,"Jonathan Scarlett,Volkan Cevher,"
36,Universal Style Transfer via Feature Transforms.,"Yijun Li,Chen Fang,Jimei Yang,Zhaowen Wang,Xin Lu,Ming-Hsuan Yang,"
37,On the Model Shrinkage Effect of Gamma Process Edge Partition Models.,"Iku Ohama,Issei Sato,Takuya Kida,Hiroki Arimura,"
38,Pose Guided Person Image Generation.,"Liqian Ma,Xu Jia,Qianru Sun,Bernt Schiele,Tinne Tuytelaars,Luc Van Gool,"
39,Inference in Graphical Models via Semidefinite Programming Hierarchies.,"Murat A. Erdogdu,Yash Deshpande,Andrea Montanari,"
40,Variable Importance Using Decision Trees.,"S. Jalil Kazemitabar,Arash A. Amini,Adam Bloniarz,Ameet S. Talwalkar,"
41,Preventing Gradient Explosions in Gated Recurrent Units.,"Sekitoshi Kanai,Yasuhiro Fujiwara,Sotetsu Iwamura,"
42,On the Power of Truncated SVD for General High-rank Matrix Estimation Problems.,"Simon S. Du,Yining Wang,Aarti Singh,"
43,f-GANs in an Information Geometric Nutshell.,"Richard Nock,Zac Cranko,Aditya Krishna Menon,Lizhen Qu,Robert C. Williamson,"
44,Toward Multimodal Image-to-Image Translation.,"Jun-Yan Zhu,Richard Zhang,Deepak Pathak,Trevor Darrell,Alexei A. Efros,Oliver Wang,Eli Shechtman,"
45,Mixture-Rank Matrix Approximation for Collaborative Filtering.,"Dongsheng Li,Chao Chen,Wei Liu,Tun Lu,Ning Gu,Stephen M. Chu,"
46,Non-monotone Continuous DR-submodular Maximization: Structure and Algorithms.,"An Bian,Kfir Yehuda Levy,Andreas Krause,Joachim M. Buhmann,"
47,Learning with Average Top-k Loss.,"Yanbo Fan,Siwei Lyu,Yiming Ying,Bao-Gang Hu,"
