,0,1
0,Repeated Games against Budgeted Adversaries.,"Jacob D. Abernethy,Manfred K. Warmuth,"
1,Towards Property-Based Classification of Clustering Paradigms.,"Margareta Ackerman,Shai Ben-David,David Loker,"
2,Tree-Structured Stick Breaking for Hierarchical Data.,"Ryan Prescott Adams,Zoubin Ghahramani,Michael I. Jordan,"
3,Sparse Instrumental Variables (SPIV) for Genome-Wide Studies.,"Felix V. Agakov,Paul McKeigue,Jon Krohn,Amos J. Storkey,"
4,Fast global convergence rates of gradient methods for high-dimensional statistical recovery.,"Alekh Agarwal,Sahand N. Negahban,Martin J. Wainwright,"
5,Learning Multiple Tasks using Manifold Regularization.,"Arvind Agarwal,Hal Daumé III,Samuel Gerber,"
6,Switched Latent Force Models for Movement Segmentation.,"Mauricio A. Álvarez,Jan Peters,Bernhard Schölkopf,Neil D. Lawrence,"
7,A POMDP Extension with Belief-dependent Rewards.,"Mauricio Araya-López,Olivier Buffet,Vincent Thomas,François Charpillet,"
8,Global seismic monitoring as probabilistic inference.,"Nimar S. Arora,Stuart J. Russell,Paul Kidwell,Erik B. Sudderth,"
9,Learning invariant features using the Transformed Indian Buffet Process.,"Joseph L. Austerweil,Thomas L. Griffiths,"
10,Supervised Clustering.,"Pranjal Awasthi,Reza Bosagh Zadeh,"
11,Occlusion Detection and Motion Estimation with Convex Optimization.,"Alper Ayvaci,Michalis Raptis,Stefano Soatto,"
12,Batch Bayesian Optimization via Simulation Matching.,"Javad Azimi,Alan Fern,Xiaoli Z. Fern,"
13,Structured sparsity-inducing norms through submodular functions.,"Francis R. Bach,"
14,A Bayesian Approach to Concept Drift.,"Stephen H. Bach,Marcus A. Maloof,"
15,Auto-Regressive HMM Inference with Incomplete Data for Short-Horizon Wind Forecasting.,"Chris Barber,Joseph Bockhorst,Paul Roebber,"
16,The LASSO risk: asymptotic results and real world examples.,"Mohsen Bayati,José Bento,Andrea Montanari,"
17,Extensions of Generalized Binary Search to Group Identification and Exponential Costs.,"Gowtham Bellala,Suresh K. Bhavnani,Clayton Scott,"
18,Label Embedding Trees for Large Multi-Class Tasks.,"Samy Bengio,Jason Weston,David Grangier,"
19,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach.,"Alessandro Bergamo,Lorenzo Torresani,"
20,Online Classification with Specificity Constraints.,"Andrey Bernstein,Shie Mannor,Nahum Shimkin,"
21,Agnostic Active Learning Without Constraints.,"Alina Beygelzimer,Daniel J. Hsu,John Langford,Tong Zhang,"
22,Inference with Multivariate Heavy-Tails in Linear Models.,"Danny Bickson,Carlos Guestrin,"
23,CUR from a Sparse Optimization Viewpoint.,"Jacob Bien,Ya Xu,Michael W. Mahoney,"
24,Optimal learning rates for Kernel Conjugate Gradient regression.,"Gilles Blanchard,Nicole Krämer,"
25,Simultaneous Object Detection and Ranking with Weak Supervision.,"Matthew B. Blaschko,Andrea Vedaldi,Andrew Zisserman,"
26,Kernel Descriptors for Visual Recognition.,"Liefeng Bo,Xiaofeng Ren,Dieter Fox,"
27,Fractionally Predictive Spiking Neurons.,"Sander M. Bohte,Jaldert O. Rombouts,"
28,Gaussian Process Preference Elicitation.,"Edwin V. Bonilla,Shengbo Guo,Scott Sanner,"
29,Predictive State Temporal Difference Learning.,"Byron Boots,Geoffrey J. Gordon,"
30,Variational Inference over Combinatorial Spaces.,"Alexandre Bouchard-Côté,Michael I. Jordan,"
31,Bootstrapping Apprenticeship Learning.,"Abdeslam Boularias,Brahim Chaib-draa,"
32,Random Projections for $k$-means Clustering.,"Christos Boutsidis,Anastasios Zouzias,Petros Drineas,"
33,Segmentation as Maximum-Weight Independent Set.,"William Brendel,Sinisa Todorovic,"
34,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning.,"Matthias Broecheler,Lise Getoor,"
35,Multi-label Multiple Kernel Learning by Stochastic Approximation: Application to Visual Object Recognition.,"Serhat Selcuk Bucak,Rong Jin,Anil K. Jain,"
36,Learning concept graphs from text with stick-breaking priors.,"America Chambers,Padhraic Smyth,Mark Steyvers,"
37,Rates of convergence for the cluster tree.,"Kamalika Chaudhuri,Sanjoy Dasgupta,"
38,Evidence-Specific Structures for Rich Tractable CRFs.,"Anton Chechetka,Carlos Guestrin,"
39,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach.,"Ning Chen,Jun Zhu,Eric P. Xing,"
40,Two-Layer Generalization Analysis for Ranking Using Rademacher Average.,"Wei Chen,Tie-Yan Liu,Zhiming Ma,"
41,"SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system.","Sylvain Chevallier,Hélène Paugam-Moisy,Michèle Sebag,"
42,Movement extraction by detecting dynamics switches and repetitions.,"Silvia Chiappa,Jan Peters,"
43,Learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors.,"Alessandro Chiuso,Gianluigi Pillonetto,"
44,Universal Kernels on Non-Standard Input Spaces.,"Andreas Christmann,Ingo Steinwart,"
45,Causal discovery in multiple models from different experiments.,"Tom Claassen,Tom Heskes,"
46,Empirical Risk Minimization with Approximations of Probabilistic Grammars.,"Shay B. Cohen,Noah A. Smith,"
47,Mixture of time-warped trajectory models for movement decoding.,"Elaine A. Corbett,Eric J. Perreault,Konrad P. Körding,"
48,Learning Bounds for Importance Weighting.,"Corinna Cortes,Yishay Mansour,Mehryar Mohri,"
49,Learning via Gaussian Herding.,"Koby Crammer,Daniel D. Lee,"
50,Spatial and anatomical regularization of SVM for brain image analysis.,"Rémi Cuingnet,Marie Chupin,Habib Benali,Olivier Colliot,"
