,0,1
0,Scan Order in Gibbs Sampling: Models in Which it Matters and Bounds on How Much.,"Bryan D. He,Christopher De Sa,Ioannis Mitliagkas,Christopher Ré,"
1,Deep ADMM-Net for Compressive Sensing MRI.,"Yan Yang,Jian Sun,Huibin Li,Zongben Xu,"
2,A scaled Bregman theorem with applications.,"Richard Nock,Aditya Krishna Menon,Cheng Soon Ong,"
3,Swapout: Learning an ensemble of deep architectures.,"Saurabh Singh,Derek Hoiem,David A. Forsyth,"
4,On Regularizing Rademacher Observation Losses.,"Richard Nock,"
5,Without-Replacement Sampling for Stochastic Gradient Methods.,"Ohad Shamir,"
6,Fast and Provably Good Seedings for k-Means.,"Olivier Bachem,Mario Lucic,Seyed Hamed Hassani,Andreas Krause,"
7,Unsupervised Learning for Physical Interaction through Video Prediction.,"Chelsea Finn,Ian J. Goodfellow,Sergey Levine,"
8,High-Rank Matrix Completion and Clustering under Self-Expressive Models.,"Ehsan Elhamifar,"
9,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling.,"Jiajun Wu,Chengkai Zhang,Tianfan Xue,Bill Freeman,Josh Tenenbaum,"
10,Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks.,"Tianfan Xue,Jiajun Wu,Katherine L. Bouman,Bill Freeman,"
11,Human Decision-Making under Limited Time.,"Pedro A. Ortega,Alan A. Stocker,"
12,Incremental Boosting Convolutional Neural Network for Facial Action Unit Recognition.,"Shizhong Han,Zibo Meng,Ahmed-Shehab Khan,Yan Tong,"
13,Natural-Parameter Networks: A Class of Probabilistic Neural Networks.,"Hao Wang,Xingjian Shi,Dit-Yan Yeung,"
14,Tree-Structured Reinforcement Learning for Sequential Object Localization.,"Zequn Jie,Xiaodan Liang,Jiashi Feng,Xiaojie Jin,Wen Feng Lu,Shuicheng Yan,"
15,Unsupervised Domain Adaptation with Residual Transfer Networks.,"Mingsheng Long,Han Zhu,Jianmin Wang,Michael I. Jordan,"
16,Verification Based Solution for Structured MAB Problems.,"Zohar S. Karnin,"
17,Minimizing Regret on Reflexive Banach Spaces and Nash Equilibria in Continuous Zero-Sum Games.,"Maximilian Balandat,Walid Krichene,Claire J. Tomlin,Alexandre M. Bayen,"
18,Linear dynamical neural population models through nonlinear embeddings.,"Yuanjun Gao,Evan W. Archer,Liam Paninski,John P. Cunningham,"
19,SURGE: Surface Regularized Geometry Estimation from a Single Image.,"Peng Wang,Xiaohui Shen,Bryan C. Russell,Scott Cohen,Brian L. Price,Alan L. Yuille,"
20,Interpretable Distribution Features with Maximum Testing Power.,"Wittawat Jitkrittum,Zoltán Szabó,Kacper P. Chwialkowski,Arthur Gretton,"
21,Sorting out typicality with the inverse moment matrix SOS polynomial.,"Edouard Pauwels,Jean B. Lasserre,"
22,Multi-armed Bandits: Competing with Optimal Sequences.,"Zohar S. Karnin,Oren Anava,"
23,Multivariate tests of association based on univariate tests.,"Ruth Heller,Yair Heller,"
24,Learning What and Where to Draw.,"Scott E. Reed,Zeynep Akata,Santosh Mohan,Samuel Tenka,Bernt Schiele,Honglak Lee,"
25,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM.,"Damek Davis,Brent Edmunds,Madeleine Udell,"
26,Integrated perception with recurrent multi-task neural networks.,"Hakan Bilen,Andrea Vedaldi,"
27,Combining Low-Density Separators with CNNs.,"Yu-Xiong Wang,Martial Hebert,"
28,CNNpack: Packing Convolutional Neural Networks in the Frequency Domain.,"Yunhe Wang,Chang Xu,Shan You,Dacheng Tao,Chao Xu,"
29,Cooperative Graphical Models.,"Josip Djolonga,Stefanie Jegelka,Sebastian Tschiatschek,Andreas Krause,"
30,f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization.,"Sebastian Nowozin,Botond Cseke,Ryota Tomioka,"
31,Bayesian Optimization for Probabilistic Programs.,"Tom Rainforth,Tuan Anh Le,Jan-Willem van de Meent,Michael A. Osborne,Frank D. Wood,"
32,Hierarchical Question-Image Co-Attention for Visual Question Answering.,"Jiasen Lu,Jianwei Yang,Dhruv Batra,Devi Parikh,"
33,Optimal Sparse Linear Encoders and Sparse PCA.,"Malik Magdon-Ismail,Christos Boutsidis,"
34,FPNN: Field Probing Neural Networks for 3D Data.,"Yangyan Li,Sören Pirk,Hao Su,Charles Ruizhongtai Qi,Leonidas J. Guibas,"
35,CRF-CNN: Modeling Structured Information in Human Pose Estimation.,"Xiao Chu,Wanli Ouyang,Hongsheng Li,Xiaogang Wang,"
36,Fairness in Learning: Classic and Contextual Bandits.,"Matthew Joseph,Michael J. Kearns,Jamie H. Morgenstern,Aaron Roth,"
37,Joint M-Best-Diverse Labelings as a Parametric Submodular Minimization.,"Alexander Kirillov,Alexander Shekhovtsov,Carsten Rother,Bogdan Savchynskyy,"
38,Domain Separation Networks.,"Konstantinos Bousmalis,George Trigeorgis,Nathan Silberman,Dilip Krishnan,Dumitru Erhan,"
39,DISCO Nets : DISsimilarity COefficients Networks.,"Diane Bouchacourt,Pawan Kumar Mudigonda,Sebastian Nowozin,"
40,Multimodal Residual Learning for Visual QA.,"Jin-Hwa Kim,Sang-Woo Lee,Dong-Hyun Kwak,Min-Oh Heo,Jeonghee Kim,JungWoo Ha,Byoung-Tak Zhang,"
41,CMA-ES with Optimal Covariance Update and Storage Complexity.,"Oswin Krause,Dídac Rodríguez Arbonès,Christian Igel,"
42,R-FCN: Object Detection via Region-based Fully Convolutional Networks.,"Jifeng Dai,Yi Li,Kaiming He,Jian Sun,"
43,GAP Safe Screening Rules for Sparse-Group Lasso.,"Eugène Ndiaye,Olivier Fercoq,Alexandre Gramfort,Joseph Salmon,"
44,Learning and Forecasting Opinion Dynamics in Social Networks.,"Abir De,Isabel Valera,Niloy Ganguly,Sourangshu Bhattacharya,Manuel Gomez-Rodriguez,"
45,Gradient-based Sampling: An Adaptive Importance Sampling for Least-squares.,"Rong Zhu,"
46,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks.,"Hao Wang,Xingjian Shi,Dit-Yan Yeung,"
47,Mutual information for symmetric rank-one matrix estimation: A proof of the replica formula.,"Jean Barbier,Mohamad Dia,Nicolas Macris,Florent Krzakala,Thibault Lesieur,Lenka Zdeborová,"
