,0,1
0,Multimodal Model-Agnostic Meta-Learning via Task-Aware Modulation.,"Risto Vuorio,Shao-Hua Sun,Hexiang Hu,Joseph J. Lim,"
1,ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks.,"Jiasen Lu,Dhruv Batra,Devi Parikh,Stefan Lee,"
2,Stochastic Shared Embeddings: Data-driven Regularization of Embedding Layers.,"Liwei Wu,Shuqing Li,Cho-Jui Hsieh,James L. Sharpnack,"
3,Unsupervised Scale-consistent Depth and Ego-motion Learning from Monocular Video.,"Jiawang Bian,Zhichao Li,Naiyan Wang,Huangying Zhan,Chunhua Shen,Ming-Ming Cheng,Ian D. Reid,"
4,Zero-shot Learning via Simultaneous Generating and Learning.,"Hyeonwoo Yu,Beomhee Lee,"
5,"Ask not what AI can do, but what AI should do: Towards a framework of task delegability.","Brian Lubars,Chenhao Tan,"
6,Stand-Alone Self-Attention in Vision Models.,"Niki Parmar,Prajit Ramachandran,Ashish Vaswani,Irwan Bello,Anselm Levskaya,Jon Shlens,"
7,High Fidelity Video Prediction with Large Stochastic Recurrent Neural Networks.,"Ruben Villegas,Arkanath Pathak,Harini Kannan,Dumitru Erhan,Quoc V. Le,Honglak Lee,"
8,Unsupervised learning of object structure and dynamics from videos.,"Matthias Minderer,Chen Sun,Ruben Villegas,Forrester Cole,Kevin P. Murphy,Honglak Lee,"
9,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism.,"Yanping Huang,Youlong Cheng,Ankur Bapna,Orhan Firat,Dehao Chen,Mia Xu Chen,HyoukJoong Lee,Jiquan Ngiam,Quoc V. Le,Yonghui Wu,Zhifeng Chen,"
10,Meta-Learning with Implicit Gradients.,"Aravind Rajeswaran,Chelsea Finn,Sham M. Kakade,Sergey Levine,"
11,"Adversarial Examples Are Not Bugs, They Are Features.","Andrew Ilyas,Shibani Santurkar,Dimitris Tsipras,Logan Engstrom,Brandon Tran,Aleksander Madry,"
