,0,1
0,Kernel Mean Estimation via Spectral Filtering.,"Krikamol Muandet,Bharath K. Sriperumbudur,Bernhard Schölkopf,"
1,Semi-Separable Hamiltonian Monte Carlo for Inference in Bayesian Hierarchical Models.,"Yichuan Zhang,Charles Sutton,"
2,Communication Efficient Distributed Machine Learning with the Parameter Server.,"Mu Li,David G. Andersen,Alexander J. Smola,Kai Yu,"
3,The Infinite Mixture of Infinite Gaussian Mixtures.,"Halid Ziya Yerebakan,Bartek Rajwa,Murat Dundar,"
4,Robust Classification Under Sample Selection Bias.,"Anqi Liu,Brian D. Ziebart,"
5,Zeta Hull Pursuits: Learning Nonconvex Data Hulls.,"Yuanjun Xiong,Wei Liu,Deli Zhao,Xiaoou Tang,"
6,Grouping-Based Low-Rank Trajectory Completion and 3D Reconstruction.,"Katerina Fragkiadaki,Marta Salas,Pablo Andrés Arbeláez,Jitendra Malik,"
7,Sparse Space-Time Deconvolution for Calcium Image Analysis.,"Ferran Diego Andilla,Fred A. Hamprecht,"
8,Restricted Boltzmann machines modeling human choice.,"Takayuki Osogami,Makoto Otsuka,"
9,Multiscale Fields of Patterns.,"Pedro F. Felzenszwalb,John G. Oberlin,"
10,large scale canonical correlation analysis with iterative least squares.,"Yichao Lu,Dean P. Foster,"
11,Altitude Training: Strong Bounds for Single-Layer Dropout.,"Stefan Wager,William Fithian,Sida I. Wang,Percy Liang,"
12,Rounding-based Moves for Metric Labeling.,"M. Pawan Kumar,"
13,Parallel Double Greedy Submodular Maximization.,"Xinghao Pan,Stefanie Jegelka,Joseph E. Gonzalez,Joseph K. Bradley,Michael I. Jordan,"
14,Multivariate Regression with Calibration.,"Han Liu,Lie Wang,Tuo Zhao,"
15,Exact Post Model Selection Inference for Marginal Screening.,"Jason D. Lee,Jonathan E. Taylor,"
16,On a Theory of Nonparametric Pairwise Similarity for Clustering: Connecting Clustering to Classification.,"Yingzhen Yang,Feng Liang,Shuicheng Yan,Zhangyang Wang,Thomas S. Huang,"
17,Just-In-Time Learning for Fast and Flexible Inference.,"S. M. Ali Eslami,Daniel Tarlow,Pushmeet Kohli,John M. Winn,"
18,Fundamental Limits of Online and Distributed Algorithms for Statistical Learning and Estimation.,"Ohad Shamir,"
19,Quantized Kernel Learning for Feature Matching.,"Danfeng Qin,Xuanli Chen,Matthieu Guillaumin,Luc Van Gool,"
