,0,1
0,Efficient Algorithms for Non-convex Isotonic Regression through Submodular Optimization.,"Francis R. Bach,"
1,Structure-Aware Convolutional Neural Networks.,"Jianlong Chang,Jie Gu,Lingfeng Wang,Gaofeng Meng,Shiming Xiang,Chunhong Pan,"
2,Kalman Normalization: Normalizing Internal Representations Across Network Layers.,"Guangrun Wang,Jiefeng Peng,Ping Luo,Xinjiang Wang,Liang Lin,"
3,HOGWILD!-Gibbs can be PanAccurate.,"Constantinos Daskalakis,Nishanth Dikkala,Siddhartha Jayanti,"
4,Text-Adaptive Generative Adversarial Networks: Manipulating Images with Natural Language.,"Seonghyeon Nam,Yunji Kim,Seon Joo Kim,"
5,IntroVAE: Introspective Variational Autoencoders for Photographic Image Synthesis.,"Huaibo Huang,Zhihang Li,Ran He,Zhenan Sun,Tieniu Tan,"
6,Doubly Robust Bayesian Inference for Non-Stationary Streaming Data with \beta-Divergences.,"Jeremias Knoblauch,Jack Jewson,Theodoros Damoulas,"
7,Adapted Deep Embeddings: A Synthesis of Methods for k-Shot Inductive Transfer Learning.,"Tyler R. Scott,Karl Ridgeway,Michael C. Mozer,"
8,Generalized Inverse Optimization through Online Learning.,"Chaosheng Dong,Yiran Chen,Bo Zeng,"
9,An Off-policy Policy Gradient Theorem Using Emphatic Weightings.,"Ehsan Imani,Eric Graves,Martha White,"
10,Supervised autoencoders: Improving generalization performance with unsupervised regularizers.,"Lei Le,Andrew Patterson,Martha White,"
11,Visual Object Networks: Image Generation with Disentangled 3D Representations.,"Jun-Yan Zhu,Zhoutong Zhang,Chengkai Zhang,Jiajun Wu,Antonio Torralba,Josh Tenenbaum,Bill Freeman,"
12,Understanding Weight Normalized Deep Neural Networks with Rectified Linear Units.,"Yixi Xu,Xiao Wang,"
13,Learning Pipelines with Limited Data and Domain Knowledge: A Study in Parsing Physics Problems.,"Mrinmaya Sachan,Kumar Avinava Dubey,Tom M. Mitchell,Dan Roth,Eric P. Xing,"
14,Learning long-range spatial dependencies with horizontal gated recurrent units.,"Drew Linsley,Junkyung Kim,Vijay Veerabadran,Charles Windolf,Thomas Serre,"
15,Joint Sub-bands Learning with Clique Structures for Wavelet Domain Super-Resolution.,"Zhisheng Zhong,Tiancheng Shen,Yibo Yang,Zhouchen Lin,Chao Zhang,"
16,Fast Similarity Search via Optimal Sparse Lifting.,"Wenye Li,Jingwei Mao,Yin Zhang,Shuguang Cui,"
17,Learning Deep Disentangled Embeddings With the F-Statistic Loss.,"Karl Ridgeway,Michael C. Mozer,"
18,Geometrically Coupled Monte Carlo Sampling.,"Mark Rowland,Krzysztof Choromanski,François Chalus,Aldo Pacchiano,Tamás Sarlós,Richard E. Turner,Adrian Weller,"
19,"Cooperative Holistic Scene Understanding: Unifying 3D Object, Layout, and Camera Pose Estimation.","Siyuan Huang,Siyuan Qi,Yinxue Xiao,Yixin Zhu,Ying Nian Wu,Song-Chun Zhu,"
20,An Efficient Pruning Algorithm for Robust Isotonic Regression.,"Cong Han Lim,"
21,PAC-learning in the presence of adversaries.,"Daniel Cullina,Arjun Nitin Bhagoji,Prateek Mittal,"
22,Sparse DNNs with Improved Adversarial Robustness.,"Yiwen Guo,Chao Zhang,Changshui Zhang,Yurong Chen,"
23,Snap ML: A Hierarchical Framework for Machine Learning.,"Celestine Dünner,Thomas P. Parnell,Dimitrios Sarigiannis,Nikolas Ioannou,Andreea Anghel,Gummadi Ravi,Madhusudanan Kandasamy,Haralampos Pozidis,"
24,See and Think: Disentangling Semantic Scene Completion.,"Shice Liu,Yu Hu,Yiming Zeng,Qiankun Tang,Beibei Jin,Yinhe Han,Xiaowei Li,"
25,Chain of Reasoning for Visual Question Answering.,"Chenfei Wu,Jinlai Liu,Xiaojie Wang,Xuan Dong,"
26,Sigsoftmax: Reanalysis of the Softmax Bottleneck.,"Sekitoshi Kanai,Yasuhiro Fujiwara,Yuki Yamanaka,Shuichi Adachi,"
27,Deep Non-Blind Deconvolution via Generalized Low-Rank Approximation.,"Wenqi Ren,Jiawei Zhang,Lin Ma,Jinshan Pan,Xiaochun Cao,Wangmeng Zuo,Wei Liu,Ming-Hsuan Yang,"
28,Bayesian Pose Graph Optimization via Bingham Distributions and Tempered Geodesic MCMC.,"Tolga Birdal,Umut Simsekli,Mustafa Onur Eken,Slobodan Ilic,"
29,MetaAnchor: Learning to Detect Objects with Customized Anchors.,"Tong Yang,Xiangyu Zhang,Zeming Li,Wenqiang Zhang,Jian Sun,"
30,Image Inpainting via Generative Multi-column Convolutional Neural Networks.,"Yi Wang,Xin Tao,Xiaojuan Qi,Xiaoyong Shen,Jiaya Jia,"
31,On Misinformation Containment in Online Social Networks.,"Guangmo Amo Tong,Ding-Zhu Du,Weili Wu,"
32,A^2-Nets: Double Attention Networks.,"Yunpeng Chen,Yannis Kalantidis,Jianshu Li,Shuicheng Yan,Jiashi Feng,"
33,Self-Supervised Generation of Spatial Audio for 360° Video.,"Pedro Morgado,Nuno Vasconcelos,Timothy R. Langlois,Oliver Wang,"
34,How Many Samples are Needed to Estimate a Convolutional Neural Network?,"Simon S. Du,Yining Wang,Xiyu Zhai,Sivaraman Balakrishnan,Ruslan Salakhutdinov,Aarti Singh,"
