,0,1
0,Maximum Margin Multi-Instance Learning.,"Hua Wang,Heng Huang,Farhad Kamangar,Feiping Nie,Chris H. Q. Ding,"
1,Shaping Level Sets with Submodular Functions.,"Francis R. Bach,"
2,Nonlinear Inverse Reinforcement Learning with Gaussian Processes.,"Sergey Levine,Zoran Popovic,Vladlen Koltun,"
3,Video Annotation and Tracking with Active Learning.,"Carl Vondrick,Deva Ramanan,"
4,On U-processes and clustering performance.,"Stéphan Clémençon,"
5,Penalty Decomposition Methods for Rank Minimization.,"Yong Zhang,Zhaosong Lu,"
6,Sparse Manifold Clustering and Embedding.,"Ehsan Elhamifar,René Vidal,"
7,Unifying Non-Maximum Likelihood Learning Objectives with Minimum KL Contraction.,"Siwei Lyu,"
8,Image Parsing with Stochastic Scene Grammar.,"Yibiao Zhao,Song Chun Zhu,"
9,A Reinforcement Learning Theory for Homeostatic Regulation.,"Mehdi Keramati,Boris S. Gutkin,"
10,Learning large-margin halfspaces with more malicious noise.,"Philip M. Long,Rocco A. Servedio,"
11,On Strategy Stitching in Large Extensive Form Multiplayer Games.,"Richard G. Gibson,Duane Szafron,"
12,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials.,"Philipp Krähenbühl,Vladlen Koltun,"
13,Transfer Learning by Borrowing Examples for Multiclass Object Detection.,"Joseph J. Lim,Ruslan Salakhutdinov,Antonio Torralba,"
14,Environmental statistics and the trade-off between model-based and TD learning in humans.,"Dylan A. Simon,Nathaniel D. Daw,"
15,Variational Learning for Recurrent Spiking Networks.,"Danilo Jimenez Rezende,Daan Wierstra,Wulfram Gerstner,"
16,Multiple Instance Learning on Structured Data.,"Dan Zhang,Yan Liu,Luo Si,Jian Zhang,Richard D. Lawrence,"
17,Manifold Precis: An Annealing Technique for Diverse Sampling of Manifolds.,"Nitesh Shroff,Pavan K. Turaga,Rama Chellappa,"
18,A Global Structural EM Algorithm for a Model of Cancer Progression.,"Ali Tofigh,Erik Sjölund,Mattias Höglund,Jens Lagergren,"
19,Action-Gap Phenomenon in Reinforcement Learning.,"Amir Massoud Farahmand,"
20,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition.,"Nobuyuki Morioka,Shin'ichi Satoh,"
21,Matrix Completion for Multi-label Image Classification.,"Ricardo Silveira Cabral,Fernando De la Torre,João Paulo Costeira,Alexandre Bernardino,"
