,0
0,"Jie Hu,Li Shen,Gang Sun,"
1,"Md Amirul Islam,Mahmoud Kalash,Neil D. B. Bruce,"
2,"Hang Zhang,Kristin Dana,Jianping Shi,Zhongyue Zhang,Xiaogang Wang,Ambrish Tyagi,Amit Agrawal,"
3,"Wei-Lin Hsiao,Kristen Grauman,"
4,"Li Niu,Ashok Veeraraghavan,Ashutosh Sabharwal,"
5,"Jiuxiang Gu,Jianfei Cai,Shafiq R. Joty,Li Niu,Gang Wang,"
6,"Jingwen Wang,Wenhao Jiang,Lin Ma,Wei Liu,Yong Xu,"
7,"Hajime Taira,Masatoshi Okutomi,Torsten Sattler,Mircea Cimpoi,Marc Pollefeys,Josef Sivic,Tomas Pajdla,Akihiko Torii,"
8,"Xizhou Zhu,Jifeng Dai,Lu Yuan,Yichen Wei,"
9,"Jiasen Lu,Jianwei Yang,Dhruv Batra,Devi Parikh,"
10,"Siyuan Qiao,Chenxi Liu,Wei Shen,Alan L. Yuille,"
11,"Xinlei Chen,Li-Jia Li,Li Fei-Fei,Abhinav Gupta,"
12,"Qingxing Cao,Xiaodan Liang,Bailing Li,Guanbin Li,Liang Lin,"
13,"Sixing Hu,Mengdan Feng,Rang M. H. Nguyen,Gim Hee Lee,"
14,"Yunchao Wei,Huaxin Xiao,Honghui Shi,Zequn Jie,Jiashi Feng,Thomas S. Huang,"
15,"Yu-Xiong Wang,Ross Girshick,Martial Hebert,Bharath Hariharan,"
16,"Tao Yu,Zerong Zheng,Kaiwen Guo,Jianhui Zhao,Qionghai Dai,Hao Li,Gerard Pons-Moll,Yebin Liu,"
17,"Rıza Alp Güler,Natalia Neverova,Iasonas Kokkinos,"
18,"Georgios Pavlakos,Xiaowei Zhou,Kostas Daniilidis,"
19,"Pablo Speciale,Danda P. Paudel,Martin R. Oswald,Hayko Riemenschneider,Luc Van Gool,Marc Pollefeys,"
20,"Alessandro Vianello,Jens Ackermann,Maximilian Diebold,Bernd Jähne,"
21,"Qianyi Wu,Juyong Zhang,Yu-Kun Lai,Jianmin Zheng,Jianfei Cai,"
22,"Luan Tran,Xiaoming Liu,"
23,"Mingmin Zhao,Tianhong Li,Mohammad Abu Alsheikh,Yonglong Tian,Hang Zhao,Antonio Torralba,Dina Katabi,"
24,"De-An Huang,Vignesh Ramanathan,Dhruv Mahajan,Lorenzo Torresani,Manohar Paluri,Li Fei-Fei,Juan Carlos Niebles,"
25,"Seoung Wug Oh,Joon-Young Lee,Kalyan Sunkavalli,Seon Joo Kim,"
26,"Alexander Richard,Hilde Kuehne,Ahsan Iqbal,Juergen Gall,"
27,"Gunnar A. Sigurdsson,Abhinav Gupta,Cordelia Schmid,Ali Farhadi,Karteek Alahari,"
28,"Bin Zhao,Xuelong Li,Xiaoqiang Lu,"
29,"Jingchun Cheng,Yi-Hsuan Tsai,Wei-Chih Hung,Shengjin Wang,Ming-Hsuan Yang,"
30,"Yuhao Zhou,Makarand Tapaswi,Sanja Fidler,"
31,"Atsushi Kanehira,Luc Van Gool,Yoshitaka Ushiku,Tatsuya Harada,"
32,"Yuki Fujimura,Masaaki Iiyama,Atsushi Hashimoto,Michihiko Minoh,"
33,"Xiaowei Hu,Lei Zhu,Chi-Wing Fu,Jing Qin,Pheng-Ann Heng,"
34,"Yan Li,Junge Zhang,Jianguo Zhang,Kaiqi Huang,"
35,"Yi-Hsuan Tsai,Wei-Chih Hung,Samuel Schulter,Kihyuk Sohn,Ming-Hsuan Yang,Manmohan Chandraker,"
36,"Alex Kendall,Yarin Gal,Roberto Cipolla,"
37,"Yehao Li,Ting Yao,Yingwei Pan,Hongyang Chao,Tao Mei,"
38,"Siavash Gorji,James J. Clark,"
39,"Junbo Wang,Wei Wang,Yan Huang,Liang Wang,Tieniu Tan,"
40,"Shaojing Fan,Zhiqi Shen,Ming Jiang,Bryan L. Koenig,Juan Xu,Mohan S. Kankanhalli,Qi Zhao,"
41,"Alexander Andreopoulos,Hirak J. Kashyap,Tapan K. Nayak,Arnon Amir,Myron D. Flickner,"
42,"Xintong Han,Zuxuan Wu,Zhe Wu,Ruichi Yu,Larry S. Davis,"
43,"Pengyuan Lyu,Cong Yao,Wenhao Wu,Shuicheng Yan,Xiang Bai,"
44,"Samaneh Azadi,Matthew Fisher,Vladimir G. Kim,Zhaowen Wang,Eli Shechtman,Trevor Darrell,"
45,"Eli Shlizerman,Lucio Dery,Hayden Schoen,Ira Kemelmacher-Shlizerman,"
46,"Jufeng Yang,Dongyu She,Yu-Kun Lai,Paul L. Rosin,Ming-Hsuan Yang,"
47,"Takuma Yagi,Karttikeya Mangalam,Ryo Yonetani,Yoichi Sato,"
48,"Yashas Annadani,Soma Biswas,"
49,"Hareesh Ravi,Lezi Wang,Carlos Muniz,Leonid Sigal,Dimitris Metaxas,Mubbasir Kapadia,"
50,"Bairui Wang,Lin Ma,Wei Zhang,Wei Liu,"
51,"Ahmet Iscen,Yannis Avrithis,Giorgos Tolias,Teddy Furon,Ondřej Chum,"
52,"Ahmet Iscen,Giorgos Tolias,Yannis Avrithis,Ondřej Chum,"
53,"Bin Yang,Wenjie Luo,Raquel Urtasun,"
54,"Xialei Liu,Joost van de Weijer,Andrew D. Bagdanov,"
55,"Hongguang Zhang,Piotr Koniusz,"
56,"Badri Patro,Vinay P. Namboodiri,"
