,0
0,"Abhishek Das,Samyak Datta,Georgia Gkioxari,Stefan Lee,Devi Parikh,Dhruv Batra,"
1,"Ishan Misra,Ross Girshick,Rob Fergus,Martial Hebert,Abhinav Gupta,Laurens van der Maaten,"
2,"Yancheng Bai,Yongqiang Zhang,Mingli Ding,Bernard Ghanem,"
3,"Hongyu Yang,Di Huang,Yunhong Wang,Anil K. Jain,"
4,"Huiwen Chang,Jingwan Lu,Fisher Yu,Adam Finkelstein,"
5,"Franziska Mueller,Florian Bernard,Oleksandr Sotnychenko,Dushyant Mehta,Srinath Sridhar,Dan Casas,Christian Theobalt,"
6,"Georg Poier,David Schinagl,Horst Bischof,"
7,"Hao-Shu Fang,Guansong Lu,Xiaolin Fang,Jianwen Xie,Yu-Wing Tai,Cewu Lu,"
8,"Longhui Wei,Shiliang Zhang,Wen Gao,Qi Tian,"
9,"Adrian Spurr,Jie Song,Seonwook Park,Otmar Hilliges,"
10,"Liqian Ma,Qianru Sun,Stamatios Georgoulis,Luc Van Gool,Bernt Schiele,Mario Fritz,"
11,"Adrian Bulat,Georgios Tzimiropoulos,"
12,"Chenyang Si,Wei Wang,Liang Wang,Tieniu Tan,"
13,"Anders Eriksson,Carl Olsson,Fredrik Kahl,Tat-Jun Chin,"
14,"Federico Camposeco,Andrea Cohen,Marc Pollefeys,Torsten Sattler,"
15,"Jesus Briales,Laurent Kneip,Javier Gonzalez-Jimenez,"
16,"Yue Luo,Jimmy Ren,Mude Lin,Jiahao Pang,Wenxiu Sun,Hongsheng Li,Liang Lin,"
17,"Bjoern Haefner,Yvain Quéau,Thomas Möllenhoff,Daniel Cremers,"
18,"Yinda Zhang,Thomas Funkhouser,"
19,"Tan Yu,Jingjing Meng,Junsong Yuan,"
20,"Haowen Deng,Tolga Birdal,Slobodan Ilic,"
21,"Yaoqing Yang,Chen Feng,Yiru Shen,Dong Tian,"
22,"Thibault Groueix,Matthew Fisher,Vladimir G. Kim,Bryan C. Russell,Mathieu Aubry,"
23,"Zhenheng Yang,Peng Wang,Yang Wang,Wei Xu,Ram Nevatia,"
24,"Daniel Barath,"
25,"Danfei Xu,Dragomir Anguelov,Ashesh Jain,"
26,"Suryansh Kumar,Anoop Cherian,Yuchao Dai,Hongdong Li,"
27,"Yifan Feng,Zizhao Zhang,Xibin Zhao,Rongrong Ji,Yue Gao,"
28,"Qilin Sun,Xiong Dun,Yifan Peng,Wolfgang Heidrich,"
29,"Xiaojuan Qi,Renjie Liao,Zhengzhe Liu,Raquel Urtasun,Jiaya Jia,"
30,"Bugra Tekin,Sudipta N. Sinha,Pascal Fua,"
31,"Shubham Tulsiani,Saurabh Gupta,David F. Fouhey,Alexei A. Efros,Jitendra Malik,"
32,"Ke Xian,Chunhua Shen,Zhiguo Cao,Hao Lu,Yang Xiao,Ruibo Li,Zhenbo Luo,"
33,"Hannes Ovrén,Per-Erik Forssén,"
34,"Jae-Han Lee,Minhyeok Heo,Kyung-Rae Kim,Chang-Su Kim,"
35,"Huangying Zhan,Ravi Garg,Chamara Saroj Weerasekera,Kejie Li,Harsh Agarwal,Ian Reid,"
36,"Rohit Girdhar,Georgia Gkioxari,Lorenzo Torresani,Manohar Paluri,Du Tran,"
37,"Xuanyi Dong,Shoou-I Yu,Xinshuo Weng,Shih-En Wei,Yi Yang,Yaser Sheikh,"
38,"Shuang Li,Slawomir Bak,Peter Carr,Xiaogang Wang,"
39,"Xuanyi Dong,Yan Yan,Wanli Ouyang,Yi Yang,"
40,"Yaojie Liu,Amin Jourabloo,Xiaoming Liu,"
41,"Kai Li,Junliang Xing,Chi Su,Weiming Hu,Yundong Zhang,Stephen Maybank,"
42,"Guillermo Garcia-Hernando,Shanxin Yuan,Seungryul Baek,Tae-Kyun Kim,"
43,"M. Saquib Sarfraz,Arne Schumann,Andreas Eberle,Rainer Stiefelhagen,"
44,"Amit Kumar,Rama Chellappa,"
45,"Kang Wang,Rui Zhao,Qiang Ji,"
46,"Yizhou Zhou,Xiaoyan Sun,Zheng-Jun Zha,Wenjun Zeng,"
47,"Georgios Pavlakos,Luyang Zhu,Xiaowei Zhou,Kostas Daniilidis,"
48,"Fabien Baradel,Christian Wolf,Julien Mille,Graham W. Taylor,"
49,"Jongwon Choi,Hyung Jin Chang,Tobias Fischer,Sangdoo Yun,Kyuewang Lee,Jiyeoup Jeong,Yiannis Demiris,Jin Young Choi,"
50,"Chong Sun,Dong Wang,Huchuan Lu,Ming-Hsuan Yang,"
51,"Simone Meyer,Abdelaziz Djelouah,Brian McWilliams,Alexander Sorkine-Hornung,Markus Gross,Christopher Schroers,"
