,0
0,"Xingyu Liu,Joon-Young Lee,Hailin Jin,"
1,"Bo Li,Wei Wu,Qiang Wang,Fangyi Zhang,Junliang Xing,Junjie Yan,"
2,"Sung Woo Park,Junseok Kwon,"
3,"Xiaohui Zeng,Chenxi Liu,Yu-Siang Wang,Weichao Qiu,Lingxi Xie,Yu-Wing Tai,Chi-Keung Tang,Alan L. Yuille,"
4,"Yinpeng Dong,Tianyu Pang,Hang Su,Jun Zhu,"
5,"Jerome Rony,Luiz G. Hafemann,Luiz S. Oliveira,Ismail Ben Ayed,Robert Sabourin,Eric Granger,"
6,"Jonathan T. Barron,"
7,"Yang He,Ping Liu,Ziwei Wang,Zhilan Hu,Yi Yang,"
8,"Sangil Jung,Changyong Son,Seohyung Lee,Jinwoo Son,Jae-Joon Han,Youngjun Kwak,Sung Ju Hwang,Changkyu Choi,"
9,"Ruoqi Sun,Xinge Zhu,Chongruo Wu,Chen Huang,Jianping Shi,Lizhuang Ma,"
10,"Oshri Halimi,Or Litany,Emanuele Rodola,Alex M. Bronstein,Ron Kimmel,"
11,"Minyoung Kim,Pritish Sahu,Behnam Gholami,Vladimir Pavlovic,"
12,"Kamran Ghasedi,Xiaoqian Wang,Cheng Deng,Heng Huang,"
13,"Tero Karras,Samuli Laine,Timo Aila,"
14,"Gil Avraham,Yan Zuo,Tom Drummond,"
15,"Ji Hou,Angela Dai,Matthias Niessner,"
16,"Yu Zhang,Daniel L. Lau,Ying Yu,"
17,"Jingwei Huang,Haotian Zhang,Li Yi,Thomas Funkhouser,Matthias Niessner,Leonidas J. Guibas,"
18,"Chen Liu,Kihwan Kim,Jinwei Gu,Yasutaka Furukawa,Jan Kautz,"
19,"Lars Mescheder,Michael Oechsle,Michael Niemeyer,Sebastian Nowozin,Andreas Geiger,"
20,"Weichao Shen,Yunde Jia,Yuwei Wu,"
21,"Ryota Natsume,Shunsuke Saito,Zeng Huang,Weikai Chen,Chongyang Ma,Hao Li,Shigeo Morishima,"
22,"Hao Zhu,Xinxin Zuo,Sen Wang,Xun Cao,Ruigang Yang,"
23,"Nikos Kolotouros,Georgios Pavlakos,Kostas Daniilidis,"
24,"Bugra Tekin,Federica Bogo,Marc Pollefeys,"
25,"Zhengqi Li,Tali Dekel,Forrester Cole,Richard Tucker,Noah Snavely,Ce Liu,William T. Freeman,"
26,"Zhenpei Yang,Jeffrey Z. Pan,Linjie Luo,Xiaowei Zhou,Kristen Grauman,Qixing Huang,"
27,"Jiapeng Tang,Xiaoguang Han,Junyi Pan,Kui Jia,Xin Tong,"
