,0
0,"Hongyang Li,David Eigen,Samuel Dodge,Matthew Zeiler,Xiaogang Wang,"
1,"Jongmin Kim,Taesup Kim,Sungwoong Kim,Chang D. Yoo,"
2,"Spyros Gidaris,Nikos Komodakis,"
3,"Chen Wang,Jianfei Yang,Lihua Xie,Junsong Yuan,"
4,"Matthias Hein,Maksym Andriushchenko,Julian Bitterwolf,"
5,"Yusuke Tsuzuku,Issei Sato,"
6,"Siyuan Qiao,Zhe Lin,Jianming Zhang,Alan L. Yuille,"
7,"Wenzhao Zheng,Zhaodong Chen,Jiwen Lu,Jie Zhou,"
8,"Chenxi Liu,Liang-Chieh Chen,Florian Schroff,Hartwig Adam,Wei Hua,Alan L. Yuille,Li Fei-Fei,"
9,"Donggeun Yoo,In So Kweon,"
10,"Salman Khan,Munawar Hayat,Syed Waqas Zamir,Jianbing Shen,Ling Shao,"
11,"Ekin D. Cubuk,Barret Zoph,Dandelion Mane,Vijay Vasudevan,Quoc V. Le,"
12,"Huu M. Le,Thanh-Toan Do,Tuan Hoang,Ngai-Man Cheung,"
13,"Thomas Schops,Torsten Sattler,Marc Pollefeys,"
14,"Francesco Pittaluga,Sanjeev J. Koppal,Sing Bing Kang,Sudipta N. Sinha,"
15,"Giljoo Nam,Chenglei Wu,Min H. Kim,Yaser Sheikh,"
16,"Jeong Joon Park,Peter Florence,Julian Straub,Richard Newcombe,Steven Lovegrove,"
17,"Pratul P. Srinivasan,Richard Tucker,Jonathan T. Barron,Ravi Ramamoorthi,Ren Ng,Noah Snavely,"
18,"Feihu Zhang,Victor Prisacariu,Ruigang Yang,Philip H.S. Torr,"
19,"Alessio Tonioni,Fabio Tosi,Matteo Poggi,Stefano Mattoccia,Luigi Di Stefano,"
20,"Sunok Kim,Seungryong Kim,Dongbo Min,Kwanghoon Sohn,"
21,"Chen Zhao,Zhiguo Cao,Chi Li,Xin Li,Jiaqi Yang,"
22,"Matthew Trager,Martial Hebert,Jean Ponce,"
23,"Xiaoguang Han,Zhaoxuan Zhang,Dong Du,Mingdai Yang,Jingming Yu,Pan Pan,Xin Yang,Ligang Liu,Zixiang Xiong,Shuguang Cui,"
24,"Rohit Girdhar,Joao Carreira,Carl Doersch,Andrew Zisserman,"
25,"Noureldien Hussein,Efstratios Gavves,Arnold W.M. Smeulders,"
26,"Xitong Yang,Xiaodong Yang,Ming-Yu Liu,Fanyi Xiao,Larry S. Davis,Jan Kautz,"
27,"Chen Sun,Abhinav Shrivastava,Carl Vondrick,Rahul Sukthankar,Kevin Murphy,Cordelia Schmid,"
28,"Chao-Yuan Wu,Christoph Feichtenhofer,Haoqi Fan,Kaiming He,Philipp Krahenbuhl,Ross Girshick,"
29,"Yuke Li,"
30,"Paritosh Parmar,Brendan Tran Morris,"
31,"Shuangjie Xu,Daizong Liu,Linchao Bao,Wei Liu,Pan Zhou,"
32,"Ruohan Gao,Kristen Grauman,"
33,"Weining Wang,Yan Huang,Liang Wang,"
34,"Fuchen Long,Ting Yao,Zhaofan Qiu,Xinmei Tian,Jiebo Luo,Tao Mei,"
35,"Shweta Bhardwaj,Mukundhan Srinivasan,Mitesh M. Khapra,"
36,"Lu Yang,Qing Song,Zhihui Wang,Ming Jiang,"
37,"Yue Wu,Yinpeng Chen,Lijuan Wang,Yuancheng Ye,Zicheng Liu,Yandong Guo,Yun Fu,"
38,"Lyne P. Tchapmi,Vineet Kosaraju,Hamid Rezatofighi,Ian Reid,Silvio Savarese,"
39,"Yifan Sun,Qin Xu,Yali Li,Chi Zhang,Yikang Li,Shengjin Wang,Jian Sun,"
40,"Qianru Sun,Yaoyao Liu,Tat-Seng Chua,Bernt Schiele,"
41,"Bohan Zhuang,Chunhua Shen,Mingkui Tan,Lingqiao Liu,Ian Reid,"
42,"Bo Pang,Kaiwen Zha,Hanwen Cao,Chen Shi,Cewu Lu,"
43,"Yunpeng Chen,Marcus Rohrbach,Zhicheng Yan,Yan Shuicheng,Jiashi Feng,Yannis Kalantidis,"
44,"Wenqi Shao,Tianjian Meng,Jingyu Li,Ruimao Zhang,Yudian Li,Xiaogang Wang,Ping Luo,"
45,"Yongming Rao,Jiwen Lu,Jie Zhou,"
46,"Shashank Tripathi,Siddhartha Chandra,Amit Agrawal,Ambrish Tyagi,James M. Rehg,Visesh Chari,"
47,"Artsiom Sanakoyeu,Vadim Tschernezki,Uta Buchler,Bjorn Ommer,"
48,"Davide Abati,Angelo Porrello,Simone Calderara,Rita Cucchiara,"
49,"Vinod Kumar Kurmi,Shanu Kumar,Vinay P. Namboodiri,"
50,"Cihang Xie,Yuxin Wu,Laurens van der Maaten,Alan L. Yuille,Kaiming He,"
51,"Xiang Li,Wenhai Wang,Xiaolin Hu,Jian Yang,"
52,"Dushyant Mehta,Kwang In Kim,Christian Theobalt,"
53,"Xingyu Liu,Charles R. Qi,Leonidas J. Guibas,"
54,"Kuan Fang,Alexander Toshev,Li Fei-Fei,Silvio Savarese,"
55,"Hang Zhang,Han Zhang,Chenguang Wang,Junyuan Xie,"
56,"Tong He,Zhi Zhang,Hang Zhang,Zhongyue Zhang,Junyuan Xie,Mu Li,"
57,"Ziwei Wang,Jiwen Lu,Chenxin Tao,Jie Zhou,Qi Tian,"
58,"Tong He,Chunhua Shen,Zhi Tian,Dong Gong,Changming Sun,Youliang Yan,"
59,"Zhezhi He,Adnan Siraj Rakin,Deliang Fan,"
60,"Zhun Zhong,Liang Zheng,Zhiming Luo,Shaozi Li,Yi Yang,"
61,"Xiaoxiao Sun,Liang Zheng,"
62,"Zhixiang Wang,Zheng Wang,Yinqiang Zheng,Yung-Yu Chuang,Shin'ichi Satoh,"
63,"Chaoqi Chen,Weiping Xie,Wenbing Huang,Yu Rong,Xinghao Ding,Yue Huang,Tingyang Xu,Junzhou Huang,"
64,"Xiaofeng Liu,Site Li,Lingsheng Kong,Wanqing Xie,Ping Jia,Jane You,B.V.K. Kumar,"
65,"Thibaut Durand,Nazanin Mehrasa,Greg Mori,"
66,"Hamid Rezatofighi,Nathan Tsoi,JunYoung Gwak,Amir Sadeghian,Ian Reid,Silvio Savarese,"
67,"Zhizheng Zhang,Cuiling Lan,Wenjun Zeng,Zhibo Chen,"
68,"Kaiyue Pang,Ke Li,Yongxin Yang,Honggang Zhang,Timothy M. Hospedales,Tao Xiang,Yi-Zhe Song,"
69,"Xinge Zhu,Jiangmiao Pang,Ceyuan Yang,Jianping Shi,Dahua Lin,"
70,"Yunhang Shen,Rongrong Ji,Yan Wang,Yongjian Wu,Liujuan Cao,"
71,"Aron Yu,Kristen Grauman,"
72,"Jifei Song,Yongxin Yang,Yi-Zhe Song,Tao Xiang,Timothy M. Hospedales,"
73,"Hao Guo,Kang Zheng,Xiaochuan Fan,Hongkai Yu,Song Wang,"
74,"Song Bai,Peng Tang,Philip H.S. Torr,Longin Jan Latecki,"
75,"Junbao Zhuo,Shuhui Wang,Shuhao Cui,Qingming Huang,"
76,"Jingke Meng,Sheng Wu,Wei-Shi Zheng,"
77,"Shaoshuai Shi,Xiaogang Wang,Hongsheng Li,"
78,"Aruni RoyChowdhury,Prithvijit Chakrabarty,Ashish Singh,SouYoung Jin,Huaizu Jiang,Liangliang Cao,Erik Learned-Miller,"
79,"Jiaxin Chen,Jie Qin,Li Liu,Fan Zhu,Fumin Shen,Jin Xie,Ling Shao,"
80,"He Huang,Changhu Wang,Philip S. Yu,Chang-Dong Wang,"
81,"Bharti Munjal,Sikandar Amin,Federico Tombari,Fabio Galasso,"
82,"Jiangmiao Pang,Kai Chen,Jianping Shi,Huajun Feng,Wanli Ouyang,Dahua Lin,"
83,"Saihui Hou,Xinyu Pan,Chen Change Loy,Zilei Wang,Dahua Lin,"
84,"Chenchen Zhu,Yihui He,Marios Savvides,"
85,"Xingyi Zhou,Jiacheng Zhuo,Philipp Krahenbuhl,"
86,"Zihao Liu,Qi Liu,Tao Liu,Nuo Xu,Xue Lin,Yanzhi Wang,Wujie Wen,"
87,"Wei-Chih Hung,Varun Jampani,Sifei Liu,Pavlo Molchanov,Ming-Hsuan Yang,Jan Kautz,"
88,"Yanchao Yang,Antonio Loquercio,Davide Scaramuzza,Stefano Soatto,"
89,"Song-Hai Zhang,Ruilong Li,Xin Dong,Paul Rosin,Zixi Cai,Xi Han,Dingcheng Yang,Haozhi Huang,Shi-Min Hu,"
90,"Guorun Yang,Xiao Song,Chaoqin Huang,Zhidong Deng,Jianping Shi,Bolei Zhou,"
91,"Kaichun Mo,Shilin Zhu,Angel X. Chang,Li Yi,Subarna Tripathi,Leonidas J. Guibas,Hao Su,"
92,"Shifeng Zhang,Xiaobo Wang,Ajian Liu,Chenxu Zhao,Jun Wan,Sergio Escalera,Hailin Shi,Zezheng Wang,Stan Z. Li,"
93,"Thomas Probst,Danda Pani Paudel,Ajad Chhatkuli,Luc Van Gool,"
94,"Danna Gurari,Qing Li,Chi Lin,Yinan Zhao,Anhong Guo,Abigale Stangl,Jeffrey P. Bigham,"
95,"Yueqi Duan,Yu Zheng,Jiwen Lu,Jie Zhou,Qi Tian,"
96,"Fanzi Wu,Linchao Bao,Yajing Chen,Yonggen Ling,Yibing Song,Songnan Li,King Ngi Ngan,Wei Liu,"
97,"Chen-Hsuan Lin,Oliver Wang,Bryan C. Russell,Eli Shechtman,Vladimir G. Kim,Matthew Fisher,Simon Lucey,"
98,"Matteo Poggi,Davide Pallotti,Fabio Tosi,Stefano Mattoccia,"
99,"Alex Zihao Zhu,Liangzhe Yuan,Kenneth Chaney,Kostas Daniilidis,"
100,"Shiyi Lan,Ruichi Yu,Gang Yu,Larry S. Davis,"
101,"Yongheng Zhao,Tolga Birdal,Haowen Deng,Federico Tombari,"
102,"Buyu Li,Wanli Ouyang,Lu Sheng,Xingyu Zeng,Xiaogang Wang,"
103,"Zehao Yu,Jia Zheng,Dongze Lian,Zihan Zhou,Shenghua Gao,"
104,"Weiyue Wang,Duygu Ceylan,Radomir Mech,Ulrich Neumann,"
105,"Cheng Sun,Chi-Wei Hsiao,Min Sun,Hwann-Tzong Chen,"
106,"Lijie Liu,Jiwen Lu,Chunjing Xu,Qi Tian,Jie Zhou,"
107,"Seungryul Baek,Kwang In Kim,Tae-Kyun Kim,"
108,"Muhammed Kocabas,Salih Karagoz,Emre Akbas,"
109,"Tsun-Yi Yang,Yi-Ting Chen,Yen-Yu Lin,Yung-Yu Chuang,"
110,"Yuxiang Zhou,Jiankang Deng,Irene Kotsia,Stefanos Zafeiriou,"
111,"Wei Tang,Ying Wu,"
112,"Zhongdao Wang,Liang Zheng,Yali Li,Shengjin Wang,"
113,"Luan Tran,Feng Liu,Xiaoming Liu,"
114,"Kai Zhao,Jingyi Xu,Ming-Ming Cheng,"
115,"Wanhua Li,Jiwen Lu,Jianjiang Feng,Chunjing Xu,Jie Zhou,Qi Tian,"
116,"Baris Gecer,Stylianos Ploumpis,Irene Kotsia,Stefanos Zafeiriou,"
117,"Mahdi Abavisani,Hamid Reza Vaezi Joze,Vishal M. Patel,"
118,"Thiemo Alldieck,Marcus Magnor,Bharat Lal Bhatnagar,Christian Theobalt,Gerard Pons-Moll,"
119,"Ancong Wu,Wei-Shi Zheng,Xiaowei Guo,Jian-Huang Lai,"
120,"Sathyanarayanan N. Aakur,Sudeep Sarkar,"
121,"Yansong Tang,Dajun Ding,Yongming Rao,Yu Zheng,Danyang Zhang,Lili Zhao,Jiwen Lu,Jie Zhou,"
122,"Chenchen Liu,Xinyu Weng,Yadong Mu,"
123,"Chenyang Si,Wentao Chen,Wei Wang,Liang Wang,Tieniu Tan,"
124,"Jia-Xing Zhong,Nannan Li,Weijie Kong,Shan Liu,Thomas H. Li,Ge Li,"
125,"Da Zhang,Xiyang Dai,Xin Wang,Yuan-Fang Wang,Larry S. Davis,"
126,"Bo Xiong,Yannis Kalantidis,Deepti Ghadiyaram,Kristen Grauman,"
127,"Zheng Shou,Xudong Lin,Yannis Kalantidis,Laura Sevilla-Lara,Marcus Rohrbach,Shih-Fu Chang,Zhicheng Yan,"
128,"Zuxuan Wu,Caiming Xiong,Chih-Yao Ma,Richard Socher,Larry S. Davis,"
129,"Yang Feng,Lin Ma,Wei Liu,Jiebo Luo,"
130,"Daochang Liu,Tingting Jiang,Yizhou Wang,"
131,"Ning Wang,Yibing Song,Chao Ma,Wengang Zhou,Wei Liu,Houqiang Li,"
132,"Zhen He,Jian Li,Daxue Liu,Hangen He,David Barber,"
133,"Qiang Wang,Li Zhang,Luca Bertinetto,Weiming Hu,Philip H.S. Torr,"
134,"Ugur Kart,Alan Lukezic,Matej Kristan,Joni-Kristian Kamarainen,Jiri Matas,"
135,"Amir Sadeghian,Vineet Kosaraju,Ali Sadeghian,Noriaki Hirose,Hamid Rezatofighi,Silvio Savarese,"
136,"Silvio Giancola,Jesus Zarzar,Bernard Ghanem,"
137,"Xin Li,Chao Ma,Baoyuan Wu,Zhenyu He,Ming-Hsuan Yang,"
138,"Kai Xu,Longyin Wen,Guorong Li,Liefeng Bo,Qingming Huang,"
139,"Wenjie Yang,Houjing Huang,Zhang Zhang,Xiaotang Chen,Kaiqi Huang,Shu Zhang,"
140,"Yi Wang,Xin Tao,Xiaoyong Shen,Jiaya Jia,"
141,"Seonghyeon Nam,Chongyang Ma,Menglei Chai,William Brendel,Ning Xu,Seon Joo Kim,"
142,"Yang Wang,Haibin Huang,Chuan Wang,Tong He,Jue Wang,Minh Hoai,"
143,"Qi Mao,Hsin-Ying Lee,Hung-Yu Tseng,Siwei Ma,Ming-Hsuan Yang,"
144,"Chuanxia Zheng,Tat-Jen Cham,Jianfei Cai,"
145,"Wenguan Wang,Shuyang Zhao,Jianbing Shen,Steven C. H. Hoi,Ali Borji,"
146,"Yazeed Alharbi,Neil Smith,Peter Wonka,"
147,"Yuan Yao,Jianqiang Ren,Xuansong Xie,Weidong Liu,Yong-Jin Liu,Jun Wang,"
148,"Minyoung Huh,Shao-Hua Sun,Ning Zhang,"
149,"Yanhong Zeng,Jianlong Fu,Hongyang Chao,Baining Guo,"
