,0
81,"Zhibin Hong,Zhe Chen,Chaohui Wang,Xue Mei,Danil Prokhorov,Dacheng Tao,"
82,"Georgia Gkioxari,Jitendra Malik,"
83,"Jian Sun,Wenfei Cao,Zongben Xu,Jean Ponce,"
84,"Yao Xiao,Cewu Lu,Efstratios Tsougenis,Yongyi Lu,Chi-Keung Tang,"
85,"Xiangyu Zhu,Zhen Lei,Junjie Yan,Dong Yi,Stan Z. Li,"
86,"Masaki Saito,Takayuki Okatani,"
87,"Baoyuan Liu,Min Wang,Hassan Foroosh,Marshall Tappen,Marianna Pensky,"
88,"Florian Schroff,Dmitry Kalenichenko,James Philbin,"
89,"Xiao Sun,Yichen Wei,Shuang Liang,Xiaoou Tang,Jian Sun,"
90,"Cong Zhang,Hongsheng Li,Xiaogang Wang,Xiaokang Yang,"
91,"Tianjun Xiao,Yichong Xu,Kuiyuan Yang,Jiaxing Zhang,Yuxin Peng,Zheng Zhang,"
92,"Li Wan,David Eigen,Rob Fergus,"
93,"Kuan-Chuan Peng,Tsuhan Chen,Amir Sadovnik,Andrew C. Gallagher,"
94,"Edgar Simo-Serra,Sanja Fidler,Francesc Moreno-Noguer,Raquel Urtasun,"
95,"Anton van den Hengel,Chris Russell,Anthony Dick,John Bastian,Daniel Pooley,Lachlan Fleming,Lourdes Agapito,"
96,"Olga Veksler,"
97,"Michael S. Ryoo,Brandon Rothrock,Larry Matthies,"
98,"Artiom Kovnatsky,Michael M. Bronstein,Xavier Bresson,Pierre Vandergheynst,"
99,"Eunwoo Kim,Minsik Lee,Songhwai Oh,"
100,"Da Kuang,Alex Gittens,Raffay Hamid,"
101,"Avishek Chatterjee,Venu Madhav Govindu,"
102,"Christoph H. Lampert,"
103,"Anna Khoreva,Fabio Galasso,Matthias Hein,Bernt Schiele,"
104,"Fabian Caba Heilbron,Victor Escorcia,Bernard Ghanem,Juan Carlos Niebles,"
105,"Yao Li,Lingqiao Liu,Chunhua Shen,Anton van den Hengel,"
106,"Hosnieh Sattar,Sabine Muller,Mario Fritz,Andreas Bulling,"
107,"Karel Lenc,Andrea Vedaldi,"
108,"Dongliang Cheng,Brian Price,Scott Cohen,Michael S. Brown,"
109,"Johannes L. Schonberger,Alexander C. Berg,Jan-Michael Frahm,"
110,"Jiaolong Yang,Hongdong Li,"
111,"Pedro Rodrigues,Joao P. Barreto,"
112,"Soonmin Hwang,Jaesik Park,Namil Kim,Yukyung Choi,In So Kweon,"
113,"Jimmy Addison Lee,Jun Cheng,Beng Hai Lee,Ee Ping Ong,Guozhen Xu,Damon Wing Kee Wong,Jiang Liu,Augustinus Laude,Tock Han Lim,"
114,"Yu Kong,Yun Fu,"
115,"Wonsik Kim,Kyoung Mu Lee,"
116,"Ming Jiang,Shengsheng Huang,Juanyong Duan,Qi Zhao,"
117,"Hakan Bilen,Marco Pedersoli,Tinne Tuytelaars,"
118,"Hoo-Chang Shin,Le Lu,Lauren Kim,Ari Seff,Jianhua Yao,Ronald M. Summers,"
119,"Vignesh Ramanathan,Congcong Li,Jia Deng,Wei Han,Zhen Li,Kunlong Gu,Yang Song,Samy Bengio,Charles Rosenberg,Li Fei-Fei,"
120,"Yong Du,Wei Wang,Liang Wang,"
121,"Bo Li,Chunhua Shen,Yuchao Dai,Anton van den Hengel,Mingyi He,"
122,"Stephan R. Richter,Stefan Roth,"
123,"Jiwen Lu,Gang Wang,Weihong Deng,Pierre Moulin,Jie Zhou,"
124,"Afshin Dehghan,Yicong Tian,Philip H. S. Torr,Mubarak Shah,"
125,"Chung-Ching Lin,Sharathchandra U. Pankanti,Karthikeyan Natesan Ramamurthy,Aleksandr Y. Aravkin,"
126,"Jerome Revaud,Philippe Weinzaepfel,Zaid Harchaoui,Cordelia Schmid,"
127,"Gong Cheng,Junwei Han,Lei Guo,Tianming Liu,"
128,"Guilin Liu,Yotam Gingold,Jyh-Ming Lien,"
129,"Tinghui Zhou,Yong Jae Lee,Stella X. Yu,Alyosha A. Efros,"
130,"Minsu Cho,Suha Kwak,Cordelia Schmid,Jean Ponce,"
131,"Xiantong Zhen,Zhijie Wang,Mengyang Yu,Shuo Li,"
132,"Andrea Gasparetto,Andrea Torsello,"
133,"Fillipe Souza,Sudeep Sarkar,Anuj Srivastava,Jingyong Su,"
134,"Srikumar Ramalingam,Michel Antunes,Dan Snow,Gim Hee Lee,Sudeep Pillai,"
135,"Gucan Long,Laurent Kneip,Xin Li,Xiaohu Zhang,Qifeng Yu,"
136,"Victor Escorcia,Juan Carlos Niebles,Bernard Ghanem,"
137,"Rui Zhao,Wanli Ouyang,Hongsheng Li,Xiaogang Wang,"
138,"Jin Xie,Yi Fang,Fan Zhu,Edward Wong,"
139,"Peixian Chen,Naiyan Wang,Nevin L. Zhang,Dit-Yan Yeung,"
140,"Bruce Xiaohan Nie,Caiming Xiong,Song-Chun Zhu,"
141,"Gang Yu,Junsong Yuan,"
142,"Xinhang Song,Shuqiang Jiang,Luis Herranz,"
143,"Lionel Gueguen,Raffay Hamid,"
144,"Qingfeng Liu,Chengjun Liu,"
145,"Saehoon Kim,Seungjin Choi,"
146,"Xiaochuan Fan,Kang Zheng,Yuewei Lin,Song Wang,"
147,"Zhengqin Li,Jiansheng Chen,"
148,"Sheng Chen,Alan Fern,Sinisa Todorovic,"
149,"Guangcong Zhang,Patricio A. Vela,"
150,"Phillip Isola,Joseph J. Lim,Edward H. Adelson,"
151,"Junhwa Hur,Hwasup Lim,Changsoo Park,Sang Chul Ahn,"
152,"Amelie Royer,Christoph H. Lampert,"
153,"Simone Meyer,Oliver Wang,Henning Zimmer,Max Grosse,Alexander Sorkine-Hornung,"
154,"Si Liu,Xiaodan Liang,Luoqi Liu,Xiaohui Shen,Jianchao Yang,Changsheng Xu,Liang Lin,Xiaochun Cao,Shuicheng Yan,"
155,"Sebastian Haner,Kalle Astrom,"
156,"Alex Yong-Sang Chia,Udana Bandara,Xiangyu Wang,Hiromi Hirano,"
157,"Ijaz Akhter,Michael J. Black,"
158,"Fereshteh Sadeghi,Santosh K. Kumar Divvala,Ali Farhadi,"
159,"Xianzhi Du,David Doermann,Wael Abd-Almageed,"
160,"Hao Fang,Saurabh Gupta,Forrest Iandola,Rupesh K. Srivastava,Li Deng,Piotr Dollar,Jianfeng Gao,Xiaodong He,Margaret Mitchell,John C. Platt,C. Lawrence Zitnick,Geoffrey Zweig,"
161,"Liping Jing,Liu Yang,Jian Yu,Michael K. Ng,"
162,"Bolei Zhou,Vignesh Jagadeesh,Robinson Piramuthu,"
163,"Mohammad Rastegari,Cem Keskin,Pushmeet Kohli,Shahram Izadi,"
164,"Shubham Tulsiani,Jitendra Malik,"
