,0
0,"Damien Teney,Lingqiao Liu,Anton van den Hengel,"
1,"Hao Zhao,Ming Lu,Anbang Yao,Yiwen Guo,Yurong Chen,Li Zhang,"
2,"Felix Juefei-Xu,Vishnu Naresh Boddeti,Marios Savvides,"
3,"Yagiz Aksoy,Tunc Ozan Aydin,Marc Pollefeys,"
4,"George Trigeorgis,Patrick Snape,Iasonas Kokkinos,Stefanos Zafeiriou,"
5,"James Booth,Epameinondas Antonakos,Stylianos Ploumpis,George Trigeorgis,Yannis Panagakis,Stefanos Zafeiriou,"
6,"Vamsi Kiran Adhikarla,Marek Vinkler,Denis Sumin,Rafal K. Mantiuk,Karol Myszkowski,Hans-Peter Seidel,Piotr Didyk,"
7,"Manikanta Kotaru,Sachin Katti,"
8,"Kenichiro Tanaka,Yasuhiro Mukaigawa,Takuya Funatomi,Hiroyuki Kubo,Yasuyuki Matsushita,Yasushi Yagi,"
9,"Philip Haeusser,Alexander Mordvintsev,Daniel Cremers,"
10,"Yvain Queau,Tao Wu,Francois Lauze,Jean-Denis Durou,Daniel Cremers,"
11,"Gul Varol,Javier Romero,Xavier Martin,Naureen Mahmood,Michael J. Black,Ivan Laptev,Cordelia Schmid,"
12,"Chengjiang Long,Gang Hua,"
13,"Je Hyeong Hong,Christopher Zach,Andrew Fitzgibbon,"
14,"Lijun Wang,Huchuan Lu,Yifan Wang,Mengyang Feng,Dong Wang,Baocai Yin,Xiang Ruan,"
15,"Jie Qin,Li Liu,Ling Shao,Bingbing Ni,Chen Chen,Fumin Shen,Yunhong Wang,"
16,"Colin Lea,Michael D. Flynn,Rene Vidal,Austin Reiter,Gregory D. Hager,"
17,"Swaminathan Gurumurthy,Ravi Kiran Sarvadevabhatla,R. Venkatesh Babu,"
18,"Itamar Talmi,Roey Mechrez,Lihi Zelnik-Manor,"
19,"Adnane Boukhayma,Jean-Sebastien Franco,Edmond Boyer,"
20,"Ang Li,Jin Sun,Joe Yue-Hei Ng,Ruichi Yu,Vlad I. Morariu,Larry S. Davis,"
21,"Behrooz Mahasseni,Michael Lam,Sinisa Todorovic,"
22,"Weiyang Liu,Yandong Wen,Zhiding Yu,Ming Li,Bhiksha Raj,Le Song,"
23,"Sergi Caelles,Kevis-Kokitsi Maninis,Jordi Pont-Tuset,Laura Leal-Taixe,Daniel Cremers,Luc Van Gool,"
24,"Akihito Seki,Marc Pollefeys,"
25,"Siddha Ganju,Olga Russakovsky,Abhinav Gupta,"
26,"Ramakrishna Vedantam,Samy Bengio,Kevin Murphy,Devi Parikh,Gal Chechik,"
27,"Hakan Cevikalp,Bill Triggs,"
28,"Clement Godard,Oisin Mac Aodha,Gabriel J. Brostow,"
29,"Viktor Larsson,Carl Olsson,"
30,"Zhou Ren,Xiaoyu Wang,Ning Zhang,Xutao Lv,Li-Jia Li,"
31,"Hyeonseob Nam,Jung-Woo Ha,Jeonghee Kim,"
32,"Erik Wijmans,Yasutaka Furukawa,"
33,"Jonathan Krause,Justin Johnson,Ranjay Krishna,Li Fei-Fei,"
34,"Abhishek Das,Satwik Kottur,Khushi Gupta,Avi Singh,Deshraj Yadav,Jose M. F. Moura,Devi Parikh,Dhruv Batra,"
35,"Namhoon Lee,Wongun Choi,Paul Vernaza,Christopher B. Choy,Philip H. S. Torr,Manmohan Chandraker,"
36,"Quanshi Zhang,Ruiming Cao,Ying Nian Wu,Song-Chun Zhu,"
37,"Lifang He,Chun-Ta Lu,Hao Ding,Shen Wang,Linlin Shen,Philip S. Yu,Ann B. Ragin,"
38,"Shu Kong,Charless Fowlkes,"
39,"Jiasen Lu,Caiming Xiong,Devi Parikh,Richard Socher,"
40,"Dangwei Li,Xiaotang Chen,Zhang Zhang,Kaiqi Huang,"
41,"Hang Yan,Yebin Liu,Yasutaka Furukawa,"
42,"Weihua Chen,Xiaotang Chen,Jianguo Zhang,Kaiqi Huang,"
43,"Si Liu,Changhu Wang,Ruihe Qian,Han Yu,Renda Bao,Yao Sun,"
44,"Armin Mustafa,Adrian Hilton,"
45,"Guillermo Garcia-Hernando,Tae-Kyun Kim,"
46,"Anurag Arnab,Philip H. S. Torr,"
47,"Varun Jampani,Raghudeep Gadde,Peter V. Gehler,"
48,"Frank Michel,Alexander Kirillov,Eric Brachmann,Alexander Krull,Stefan Gumhold,Bogdan Savchynskyy,Carsten Rother,"
49,"Fisher Yu,Vladlen Koltun,Thomas Funkhouser,"
50,"Yinlin Hu,Yunsong Li,Rui Song,"
51,"Youngjae Yu,Jongwook Choi,Yeonhwa Kim,Kyung Yoo,Sang-Hun Lee,Gunhee Kim,"
52,"Hongsong Wang,Liang Wang,"
53,"Qixiang Ye,Tianliang Zhang,Wei Ke,Qiang Qiu,Jie Chen,Guillermo Sapiro,Baochang Zhang,"
54,"Yanzhao Zhou,Qixiang Ye,Qiang Qiu,Jianbin Jiao,"
