,0
0,"Jinkyu Kim,Suhong Moon,Anna Rohrbach,Trevor Darrell,John Canny,"
1,"Edoardo Remelli,Shangchen Han,Sina Honari,Pascal Fua,Robert Wang,"
2,"Arash Rahnama,Andre T. Nguyen,Edward Raff,"
3,"Victoria Fernandez Abrevaya,Adnane Boukhayma,Philip H.S. Torr,Edmond Boyer,"
4,"Sinan Wang,Xinyang Chen,Yunbo Wang,Mingsheng Long,Jianmin Wang,"
5,"Linchao Zhu,Yi Yang,"
6,"Wenqian Liu,Runze Li,Meng Zheng,Srikrishna Karanam,Ziyan Wu,Bir Bhanu,Richard J. Radke,Octavia Camps,"
7,"Yuqing Wang,Zhaoliang Xu,Hao Shen,Baoshan Cheng,Lirong Yang,"
8,"Yanwei Pang,Jing Nie,Jin Xie,Jungong Han,Xuelong Li,"
9,"Chengxu Zhuang,Tianwei She,Alex Andonian,Max Sobol Mark,Daniel Yamins,"
10,"Chao Yang,Ser-Nam Lim,"
11,"Marcus Valtonen Ornhag,Carl Olsson,"
12,"Jiayu Yang,Wei Mao,Jose M. Alvarez,Miaomiao Liu,"
13,"Ren Yang,Fabian Mentzer,Luc Van Gool,Radu Timofte,"
14,"Denys Rozumnyi,Jan Kotera,Filip Sroubek,Jiri Matas,"
15,"Hayato Onizuka,Zehra Hayirci,Diego Thomas,Akihiro Sugimoto,Hideaki Uchiyama,Rin-ichiro Taniguchi,"
16,"Pengpeng Liu,Irwin King,Michael R. Lyu,Jia Xu,"
17,"Hao Tang,Dan Xu,Yan Yan,Philip H.S. Torr,Nicu Sebe,"
18,"Naofumi Akimoto,Huachun Zhu,Yanghua Jin,Yoshimitsu Aoki,"
19,"Xiufeng Xie,Kyu-Han Kim,"
20,"Ziqian Bai,Zhaopeng Cui,Jamal Ahmed Rahim,Xiaoming Liu,Ping Tan,"
21,"Peidong Liu,Zhaopeng Cui,Viktor Larsson,Marc Pollefeys,"
22,"Hao Chen,Kunyang Sun,Zhi Tian,Chunhua Shen,Yongming Huang,Youliang Yan,"
23,"Iacopo Masi,Joe Mathai,Wael AbdAlmageed,"
24,"Haochen Wang,Ruotian Luo,Michael Maire,Greg Shakhnarovich,"
25,"Yiyi Liao,Katja Schwarz,Lars Mescheder,Andreas Geiger,"
26,"Chih-Hui Ho,Bo Liu,Tz-Ying Wu,Nuno Vasconcelos,"
27,"Itai Lang,Asaf Manor,Shai Avidan,"
28,"Zheng Ding,Yifan Xu,Weijian Xu,Gaurav Parmar,Yang Yang,Max Welling,Zhuowen Tu,"
29,"Xiaohang Zhan,Jiahao Xie,Ziwei Liu,Yew-Soon Ong,Chen Change Loy,"
30,"Patrick Esser,Robin Rombach,Bjorn Ommer,"
31,"Olivia Wiles,Georgia Gkioxari,Richard Szeliski,Justin Johnson,"
32,"Bardia Doosti,Shujon Naha,Majid Mirbagheri,David J. Crandall,"
33,"Wenzheng Chen,Parsa Mirdehghan,Sanja Fidler,Kiriakos N. Kutulakos,"
34,"Jameel Malik,Ibrahim Abdelaziz,Ahmed Elhayek,Soshi Shimada,Sk Aziz Ali,Vladislav Golyanik,Christian Theobalt,Didier Stricker,"
35,"Sicheng Xu,Jiaolong Yang,Dong Chen,Fang Wen,Yu Deng,Yunde Jia,Xin Tong,"
36,"Muhammad Haris Khan,John McDonagh,Salman Khan,Muhammad Shahabuddin,Aditya Arora,Fahad Shahbaz Khan,Ling Shao,Georgios Tzimiropoulos,"
37,"Francesco Marchetti,Federico Becattini,Lorenzo Seidenari,Alberto Del Bimbo,"
38,"Peng Dai,Yinda Zhang,Zhuwen Li,Shuaicheng Liu,Bing Zeng,"
39,"Yongri Piao,Zhengkun Rong,Miao Zhang,Weisong Ren,Huchuan Lu,"
40,"Janghyeon Lee,Hyeong Gwon Hong,Donggyu Joo,Junmo Kim,"
41,"Dong Cao,Xiangyu Zhu,Xingyu Huang,Jianzhu Guo,Zhen Lei,"
42,"Jiashun Wang,Chao Wen,Yanwei Fu,Haitao Lin,Tianyun Zou,Xiangyang Xue,Yinda Zhang,"
43,"Silvan Weder,Johannes Schonberger,Marc Pollefeys,Martin R. Oswald,"
44,"Wen Jiang,Nikos Kolotouros,Georgios Pavlakos,Xiaowei Zhou,Kostas Daniilidis,"
45,"Kenan Dai,Yunhua Zhang,Dong Wang,Jianhua Li,Huchuan Lu,Xiaoyun Yang,"
46,"Muhammad Abdullah Jamal,Matthew Brown,Ming-Hsuan Yang,Liqiang Wang,Boqing Gong,"
47,"Simon Niklaus,Feng Liu,"
48,"Pan Zhang,Bo Zhang,Dong Chen,Lu Yuan,Fang Wen,"
49,"Zhihao Chen,Lei Zhu,Liang Wan,Song Wang,Wei Feng,Pheng-Ann Heng,"
50,"Yong Guo,Jian Chen,Jingdong Wang,Qi Chen,Jiezhang Cao,Zeshuai Deng,Yanwu Xu,Mingkui Tan,"
51,"Tianyu Yang,Pengfei Xu,Runbo Hu,Hua Chai,Antoni B. Chan,"
52,"Qiufu Li,Linlin Shen,Sheng Guo,Zhihui Lai,"
53,"Vedika Agarwal,Rakshith Shetty,Mario Fritz,"
54,"Jiangning Zhang,Xianfang Zeng,Mengmeng Wang,Yusu Pan,Liang Liu,Yong Liu,Yu Ding,Changjie Fan,"
55,"Sida Peng,Wen Jiang,Huaijin Pi,Xiuli Li,Hujun Bao,Xiaowei Zhou,"
56,"Po-Hsiang Huang,Fu-En Yang,Yu-Chiang Frank Wang,"
57,"Hui Tang,Ke Chen,Kui Jia,"
58,"Elad Hoffer,Tal Ben-Nun,Itay Hubara,Niv Giladi,Torsten Hoefler,Daniel Soudry,"
59,"Hyeongmin Lee,Taeoh Kim,Tae-young Chung,Daehyun Pak,Yuseok Ban,Sangyoun Lee,"
60,"Wang Shen,Wenbo Bao,Guangtao Zhai,Li Chen,Xiongkuo Min,Zhiyong Gao,"
61,"Tao Li,Zhiyuan Liang,Sanyuan Zhao,Jiahao Gong,Jianbing Shen,"
62,"Bowen Cheng,Bin Xiao,Jingdong Wang,Honghui Shi,Thomas S. Huang,Lei Zhang,"
63,"Sheng-Yu Wang,Oliver Wang,Richard Zhang,Andrew Owens,Alexei A. Efros,"
64,"Tianshu Yu,Junchi Yan,Baoxin Li,"
65,"Sadegh Aliakbarian,Fatemeh Sadat Saleh,Mathieu Salzmann,Lars Petersson,Stephen Gould,"
66,"Evangelos Sariyanidi,Casey J. Zampella,Robert T. Schultz,Birkan Tunc,"
67,"Fuxiang Huang,Lei Zhang,Yang Yang,Xichuan Zhou,"
68,"Adam Kortylewski,Ju He,Qing Liu,Alan L. Yuille,"
69,"Rongliang Wu,Gongjie Zhang,Shijian Lu,Tao Chen,"
70,"Liangji Fang,Qinhong Jiang,Jianping Shi,Bolei Zhou,"
71,"Xiaomei Zhang,Yingying Chen,Bingke Zhu,Jinqiao Wang,Ming Tang,"
72,"Pratul P. Srinivasan,Ben Mildenhall,Matthew Tancik,Jonathan T. Barron,Richard Tucker,Noah Snavely,"
73,"Yanping Fu,Qingan Yan,Jie Liao,Chunxia Xiao,"
74,"Shaoteng Liu,Jingjing Chen,Liangming Pan,Chong-Wah Ngo,Tat-Seng Chua,Yu-Gang Jiang,"
75,"Chengzhou Tang,Lu Yuan,Ping Tan,"
76,"Jinjie Mai,Meng Yang,Wenfeng Luo,"
77,"Shunkai Li,Xin Wang,Yingdian Cao,Fei Xue,Zike Yan,Hongbin Zha,"
78,"Yu-Ting Chang,Qiaosong Wang,Wei-Chih Hung,Robinson Piramuthu,Yi-Hsuan Tsai,Ming-Hsuan Yang,"
79,"Apratim Bhattacharyya,Shweta Mahajan,Mario Fritz,Bernt Schiele,Stefan Roth,"
80,"Colin Graber,Alexander G. Schwing,"
81,"Byungsoo Ko,Geonmo Gu,"
82,"Shuxin Wang,Shilei Cao,Dong Wei,Renzhen Wang,Kai Ma,Liansheng Wang,Deyu Meng,Yefeng Zheng,"
83,"Artsiom Sanakoyeu,Vasil Khalidov,Maureen S. McCarthy,Andrea Vedaldi,Natalia Neverova,"
84,"Kai Wang,Xiaojiang Peng,Jianfei Yang,Shijian Lu,Yu Qiao,"
85,"Eirikur Agustsson,David Minnen,Nick Johnston,Johannes Balle,Sung Jin Hwang,George Toderici,"
86,"Ayush Tewari,Mohamed Elgharib,Gaurav Bharaj,Florian Bernard,Hans-Peter Seidel,Patrick Perez,Michael Zollhofer,Christian Theobalt,"
87,"Assaf Shocher,Yossi Gandelsman,Inbar Mosseri,Michal Yarom,Michal Irani,William T. Freeman,Tali Dekel,"
88,"Yantao Shen,Yuanjun Xiong,Wei Xia,Stefano Soatto,"
89,"Yaobin Zhang,Weihong Deng,Mei Wang,Jiani Hu,Xian Li,Dongyue Zhao,Dongchao Wen,"
90,"Kaihua Zhang,Tengpeng Li,Shiwen Shen,Bo Liu,Jin Chen,Qingshan Liu,"
91,"Bruno Artacho,Andreas Savakis,"
92,"Jae Shin Yoon,Kihwan Kim,Orazio Gallo,Hyun Soo Park,Jan Kautz,"
93,"Li'an Zhuo,Baochang Zhang,Linlin Yang,Hanlin Chen,Qixiang Ye,David Doermann,Rongrong Ji,Guodong Guo,"
94,"Chen Gao,Yunpeng Chen,Si Liu,Zhenxiong Tan,Shuicheng Yan,"
95,"Patrick Knobelreiter,Christian Sormann,Alexander Shekhovtsov,Friedrich Fraundorfer,Thomas Pock,"
96,"Wenyan Cong,Jianfu Zhang,Li Niu,Liu Liu,Zhixin Ling,Weiyuan Li,Liqing Zhang,"
97,"Jogendra Nath Kundu,Siddharth Seth,Varun Jampani,Mugalodi Rakesh,R. Venkatesh Babu,Anirban Chakraborty,"
98,"Tomas Jakab,Ankush Gupta,Hakan Bilen,Andrea Vedaldi,"
99,"Feng Zhang,Xiatian Zhu,Hanbin Dai,Mao Ye,Ce Zhu,"
100,"Ruixu Liu,Ju Shen,He Wang,Chen Chen,Sen-ching Cheung,Vijayan Asari,"
101,"Shengyu Zhao,Yilun Sheng,Yue Dong,Eric I-Chao Chang,Yan Xu,"
102,"Bjorn Browatzki,Christian Wallraven,"
103,"Zhenyu Xu,Yiguang Liu,Xuelei Shi,Ying Wang,Yunan Zheng,"
104,"Henry M. Clever,Zackory Erickson,Ariel Kapusta,Greg Turk,Karen Liu,Charles C. Kemp,"
