,0
0,"Wanli Peng,Hao Pan,He Liu,Yi Sun,"
1,"Martin Runz,Kejie Li,Meng Tang,Lingni Ma,Chen Kong,Tanner Schmidt,Ian Reid,Lourdes Agapito,Julian Straub,Steven Lovegrove,Richard Newcombe,"
2,"Yang You,Yujing Lou,Chengkun Li,Zhoujun Cheng,Liangwei Li,Lizhuang Ma,Cewu Lu,Weiming Wang,"
3,"Shifeng Zhang,Cheng Chi,Yongqiang Yao,Zhen Lei,Stan Z. Li,"
4,"Chenhang He,Hui Zeng,Jianqiang Huang,Xian-Sheng Hua,Lei Zhang,"
5,"Florian Bernard,Zeeshan Khan Suri,Christian Theobalt,"
6,"Mengxue Li,Yi-Ming Zhai,You-Wei Luo,Peng-Fei Ge,Chuan-Xian Ren,"
7,"Anyi Rao,Linning Xu,Yu Xiong,Guodong Xu,Qingqiu Huang,Bolei Zhou,Dahua Lin,"
8,"Peixi Xiong,Ying Wu,"
9,"Wei Zhai,Yang Cao,Zheng-Jun Zha,HaiYong Xie,Feng Wu,"
10,"Scott Workman,Nathan Jacobs,"
11,"Huaizu Jiang,Ishan Misra,Marcus Rohrbach,Erik Learned-Miller,Xinlei Chen,"
12,"Chen-Lin Zhang,Yun-Hao Cao,Jianxin Wu,"
13,"Zhihui Wang,Shijie Wang,Shuhui Yang,Haojie Li,Jianjun Li,Zezhou Li,"
14,"Jingzhou Liu,Wenhu Chen,Yu Cheng,Zhe Gan,Licheng Yu,Yiming Yang,Jingjing Liu,"
15,"Anthony Ortiz,Caleb Robinson,Dan Morris,Olac Fuentes,Christopher Kiekintveld,Md Mahmudulla Hassan,Nebojsa Jojic,"
16,"Marc Eder,Mykhailo Shvets,John Lim,Jan-Michael Frahm,"
17,"Longteng Guo,Jing Liu,Xinxin Zhu,Peng Yao,Shichen Lu,Hanqing Lu,"
18,"Peng Zhou,Brian Price,Scott Cohen,Gregg Wilensky,Larry S. Davis,"
19,"Maximilian Jaritz,Tuan-Hung Vu,Raoul de Charette,Emilie Wirbel,Patrick Perez,"
20,"Lourenco V. Pato,Renato Negrinho,Pedro M. Q. Aguiar,"
21,"Gordon Christie,Rodrigo Rene Rai Munoz Abujder,Kevin Foster,Shea Hagstrom,Gregory D. Hager,Myron Z. Brown,"
22,"Ling Yang,Liangliang Li,Zilun Zhang,Xinyu Zhou,Erjin Zhou,Yu Liu,"
23,"Kai Li,Curtis Wigington,Chris Tensmeyer,Handong Zhao,Nikolaos Barmpalios,Vlad I. Morariu,Varun Manjunatha,Tong Sun,Yun Fu,"
24,"Osman Semih Kayhan,Jan C. van Gemert,"
25,"Gedas Bertasius,Lorenzo Torresani,"
26,"Menglong Yang,Fangrui Wu,Wei Li,"
