,0
0,"Ke Yan,Yifan Peng,Veit Sandfort,Mohammadhadi Bagheri,Zhiyong Lu,Ronald M. Summers,"
1,"Le Hou,Ayush Agarwal,Dimitris Samaras,Tahsin M. Kurc,Rajarsi R. Gupta,Joel H. Saltz,"
2,"Amy Zhao,Guha Balakrishnan,Fredo Durand,John V. Guttag,Adrian V. Dalca,"
3,"Deng-Ping Fan,Wenguan Wang,Ming-Ming Cheng,Jianbing Shen,"
4,"De-An Huang,Suraj Nair,Danfei Xu,Yuke Zhu,Animesh Garg,Li Fei-Fei,Silvio Savarese,Juan Carlos Niebles,"
5,"Fei Xue,Xin Wang,Shunkai Li,Qiuyuan Wang,Junqiu Wang,Hongbin Zha,"
6,"Bo Zhao,Lili Meng,Weidong Yin,Leonid Sigal,"
7,"Atsushi Kanehira,Kentaro Takemoto,Sho Inayoshi,Tatsuya Harada,"
8,"Atsushi Kanehira,Tatsuya Harada,"
9,"Kuan Wang,Zhijian Liu,Yujun Lin,Ji Lin,Song Han,"
10,"Pawel Korus,Nasir Memon,"
11,"Elena Trunz,Sebastian Merzbach,Jonathan Klein,Thomas Schulze,Michael Weinmann,Reinhard Klein,"
12,"Zongmian Li,Jiri Sedlar,Justin Carpentier,Ivan Laptev,Nicolas Mansard,Josef Sivic,"
13,"Li Ding,Chen Feng,"
14,"Wenyuan Zeng,Wenjie Luo,Simon Suo,Abbas Sadat,Bin Yang,Sergio Casas,Raquel Urtasun,"
15,"Tian Han,Erik Nijkamp,Xiaolin Fang,Mitch Hill,Song-Chun Zhu,Ying Nian Wu,"
16,"Zitian Chen,Yanwei Fu,Yu-Xiong Wang,Lin Ma,Wei Liu,Martial Hebert,"
17,"Jicong Fan,Madeleine Udell,"
18,"Tiancheng Zhi,Bernardo R. Pires,Martial Hebert,Srinivasa G. Narasimhan,"
19,"Samarth Brahmbhatt,Cusuh Ham,Charles C. Kemp,James Hays,"
20,"Yuanman Li,Jiantao Zhou,Xianwei Zheng,Jinyu Tian,Yuan Yan Tang,"
21,"Thomas Probst,Ajad Chhatkuli,Danda Pani Paudel,Luc Van Gool,"
22,"Guanying Chen,Kai Han,Boxin Shi,Yasuyuki Matsushita,Kwan-Yee K. Wong,"
23,"Ming-Fang Chang,John Lambert,Patsorn Sangkloy,Jagjeet Singh,Slawomir Bak,Andrew Hartnett,De Wang,Peter Carr,Simon Lucey,Deva Ramanan,James Hays,"
24,"Hui Yin,Yuanhao Gong,Guoping Qiu,"
25,"Abhimanyu Dubey,Laurens van der Maaten,Zeki Yalniz,Yixuan Li,Dhruv Mahajan,"
26,"Stefan Stojanov,Samarth Mishra,Ngoc Anh Thai,Nikhil Dhanda,Ahmad Humayun,Chen Yu,Linda B. Smith,James M. Rehg,"
27,"Xiaoping Wu,Chi Zhan,Yu-Kun Lai,Ming-Ming Cheng,Jufeng Yang,"
28,"Zheng Tang,Milind Naphade,Ming-Yu Liu,Xiaodong Yang,Stan Birchfield,Shuo Wang,Ratnesh Kumar,David Anastasiu,Jenq-Neng Hwang,"
29,"Amir Zadeh,Michael Chan,Paul Pu Liang,Edmund Tong,Louis-Philippe Morency,"
30,"Yuwen Xiong,Renjie Liao,Hengshuang Zhao,Rui Hu,Min Bai,Ersin Yumer,Raquel Urtasun,"
31,"Quang-Hieu Pham,Thanh Nguyen,Binh-Son Hua,Gemma Roig,Sai-Kit Yeung,"
32,"Davy Neven,Bert De Brabandere,Marc Proesmans,Luc Van Gool,"
33,"Kuang-Jui Hsu,Yen-Yu Lin,Yung-Yu Chuang,"
34,"Yi Zhu,Karan Sapra,Fitsum A. Reda,Kevin J. Shih,Shawn Newsam,Andrew Tao,Bryan Catanzaro,"
35,"Samvit Jain,Xin Wang,Joseph E. Gonzalez,"
36,"Xiaogang Wang,Bin Zhou,Yahao Shi,Xiaowu Chen,Qinping Zhao,Kai Xu,"
37,"Henghui Ding,Xudong Jiang,Bing Shuai,Ai Qun Liu,Gang Wang,"
38,"Yongcheng Liu,Bin Fan,Shiming Xiang,Chunhong Pan,"
39,"Wenda Zhao,Bowen Zheng,Qiuhua Lin,Huchuan Lu,"
40,"Brent A. Griffin,Jason J. Corso,"
41,"Wuyang Chen,Ziyu Jiang,Zhangyang Wang,Kexin Cui,Xiaoning Qian,"
42,"Saquib Sarfraz,Vivek Sharma,Rainer Stiefelhagen,"
43,"Xiaodan Liang,"
44,"Joakim Johnander,Martin Danelljan,Emil Brissman,Fahad Shahbaz Khan,Michael Felsberg,"
45,"Gilles Puy,Patrick Perez,"
46,"Shangqian Gao,Cheng Deng,Heng Huang,"
47,"Matthew Amodio,Smita Krishnaswamy,"
48,"Qianqian Xu,Zhiyong Yang,Yangbangyan Jiang,Xiaochun Cao,Qingming Huang,Yuan Yao,"
49,"Chao Xue,Junchi Yan,Rong Yan,Stephen M. Chu,Yonggang Hu,Yonghua Lin,"
50,"Byungju Kim,Hyunwoo Kim,Kyungsu Kim,Sungjin Kim,Junmo Kim,"
51,"Minghao Guo,Zhao Zhong,Wei Wu,Dahua Lin,Junjie Yan,"
52,"Seonguk Seo,Paul Hongsuck Seo,Bohyung Han,"
53,"Masanori Suganuma,Xing Liu,Takayuki Okatani,"
54,"Xijun Wang,Meina Kan,Shiguang Shan,Xilin Chen,"
55,"Jian Ren,Zhe Li,Jianchao Yang,Ning Xu,Tianbao Yang,David J. Foran,"
56,"Dayan Wu,Qi Dai,Jing Liu,Bo Li,Weiping Wang,"
57,"Seyed-Mohsen Moosavi-Dezfooli,Alhussein Fawzi,Jonathan Uesato,Pascal Frossard,"
58,"Apostolos Modas,Seyed-Mohsen Moosavi-Dezfooli,Pascal Frossard,"
59,"Jorg Wagner,Jan Mathias Kohler,Tobias Gindele,Leon Hetzel,Jakob Thaddaus Wiedemer,Sven Behnke,"
60,"Carl Lemaire,Andrew Achkar,Pierre-Marc Jodoin,"
61,"Yu-Hsun Lin,Chun-Nan Chou,Edward Y. Chang,"
62,"Vladimir Nekrasov,Hao Chen,Chunhua Shen,Ian Reid,"
63,"Chong Xiang,Charles R. Qi,Bo Li,"
64,"Xin Li,Yiming Zhou,Zheng Pan,Jiashi Feng,"
65,"Yunbo Wang,Jianjin Zhang,Hongyu Zhu,Mingsheng Long,Jianmin Wang,Philip S. Yu,"
66,"Sungsoo Ahn,Shell Xu Hu,Andreas Damianou,Neil D. Lawrence,Zhenwen Dai,"
