,0
0,"Lisa Anne Hendricks,Subhashini Venugopalan,Marcus Rohrbach,Raymond Mooney,Kate Saenko,Trevor Darrell,"
1,"Junhua Mao,Jonathan Huang,Alexander Toshev,Oana Camburu,Alan L. Yuille,Kevin Murphy,"
2,"Zichao Yang,Xiaodong He,Jianfeng Gao,Li Deng,Alex Smola,"
3,"Hyeonwoo Noh,Paul Hongsuck Seo,Bohyung Han,"
4,"Jacob Andreas,Marcus Rohrbach,Trevor Darrell,Dan Klein,"
5,"Scott Reed,Zeynep Akata,Honglak Lee,Bernt Schiele,"
6,"Zeynep Akata,Mateusz Malinowski,Mario Fritz,Bernt Schiele,"
7,"Yongqin Xian,Zeynep Akata,Gaurav Sharma,Quynh Nguyen,Matthias Hein,Bernt Schiele,"
8,"Roland Kwitt,Sebastian Hegenbart,Marc Niethammer,"
9,"Chuang Gan,Tianbao Yang,Boqing Gong,"
10,"Carl Vondrick,Hamed Pirsiavash,Antonio Torralba,"
11,"Kwang Moo Yi,Yannick Verdie,Pascal Fua,Vincent Lepetit,"
12,"Tinghui Zhou,Philipp Krahenbuhl,Mathieu Aubry,Qixing Huang,Alexei A. Efros,"
13,"Shenlong Wang,Sean Ryan Fanello,Christoph Rhemann,Shahram Izadi,Pushmeet Kohli,"
14,"Seyed Hamid Rezatofighi,Anton Milan,Zhen Zhang,Qinfeng Shi,Anthony Dick,Ian Reid,"
15,"Xiangyu Zhu,Zhen Lei,Xiaoming Liu,Hailin Shi,Stan Z. Li,"
16,"Jie Feng,Brian Price,Scott Cohen,Shih-Fu Chang,"
17,"Chen Liu,Pushmeet Kohli,Yasutaka Furukawa,"
18,"Michael Maire,Takuya Narihira,Stella X. Yu,"
19,"Anna Khoreva,Rodrigo Benenson,Mohamed Omran,Matthias Hein,Bernt Schiele,"
20,"Jimei Yang,Brian Price,Scott Cohen,Honglak Lee,Ming-Hsuan Yang,"
21,"Qi Wu,Chunhua Shen,Lingqiao Liu,Anthony Dick,Anton van den Hengel,"
22,"Nati Ofir,Meirav Galun,Boaz Nadler,Ronen Basri,"
23,"Wei Shen,Kai Zhao,Yuan Jiang,Yan Wang,Zhijiang Zhang,Xiang Bai,"
24,"Yu Liu,Michael S. Lew,"
25,"Huan Fu,Chaohui Wang,Dacheng Tao,Michael J. Black,"
26,"Zizhao Zhang,Fuyong Xing,Xiaoshuang Shi,Lin Yang,"
27,"Saurabh Singh,Derek Hoiem,David Forsyth,"
28,"Lingxi Xie,Liang Zheng,Jingdong Wang,Alan L. Yuille,Qi Tian,"
29,"Hao Yang,Joey Tianyi Zhou,Yu Zhang,Bin-Bin Gao,Jianxin Wu,Jianfei Cai,"
30,"Dmitry Laptev,Nikolay Savinov,Joachim M. Buhmann,Marc Pollefeys,"
31,"Edgar Simo-Serra,Hiroshi Ishikawa,"
32,"Yuhui Quan,Chenglong Bao,Hui Ji,"
33,"Yang Gao,Oscar Beijbom,Ning Zhang,Trevor Darrell,"
34,"Tsun-Yi Yang,Yen-Yu Lin,Yung-Yu Chuang,"
35,"Swarna K. Ravindran,Anurag Mittal,"
36,"Yuan-Ting Hu,Yen-Yu Lin,"
37,"Da Chen,Jean-Marie Mirebeau,Laurent D. Cohen,"
38,"Yuhua Chen,Dengxin Dai,Jordi Pont-Tuset,Luc Van Gool,"
39,"Ning Xu,Brian Price,Scott Cohen,Jimei Yang,Thomas S. Huang,"
40,"Danna Gurari,Suyog Jain,Margrit Betke,Kristen Grauman,"
41,"Yuka Kihara,Matvey Soloviev,Tsuhan Chen,"
42,"Loic A. Royer,David L. Richmond,Carsten Rother,Bjoern Andres,Dagmar Kainmueller,"
43,"Ertunc Erdil,Sinan Yildirim,Mujdat Cetin,Tolga Tasdizen,"
44,"Fengyuan Zhu,Guangyong Chen,Pheng-Ann Heng,"
45,"Jaesik Park,Yu-Wing Tai,Sudipta N. Sinha,In So Kweon,"
46,"Or Lotan,Michal Irani,"
47,"Kuldeep Kulkarni,Suhas Lohit,Pavan Turaga,Ronan Kerviche,Amit Ashok,"
48,"Jinshan Pan,Zhe Hu,Zhixun Su,Hsin-Ying Lee,Ming-Hsuan Yang,"
49,"Dongliang Cheng,Abdelrahman Abdelhamed,Brian Price,Scott Cohen,Michael S. Brown,"
50,"Guanbin Li,Yizhou Yu,"
51,"Seung-Hwan Baek,Inchang Choi,Min H. Kim,"
52,"Long Mai,Hailin Jin,Feng Liu,"
53,"Jiansheng Chen,Gaocheng Bai,Shaoheng Liang,Zhengqin Li,"
54,"Neil D. B. Bruce,Christopher Catton,Sasa Janjic,"
55,"Calden Wloka,John Tsotsos,"
56,"Qiaosong Wang,Wen Zheng,Robinson Piramuthu,"
57,"Anna Volokitin,Michael Gygli,Xavier Boix,"
58,"Oriel Frigo,Neus Sabater,Julie Delon,Pierre Hellier,"
59,"Lilian Calvet,Pierre Gurdjos,Carsten Griwodz,Simone Gasparini,"
60,"Luis Herranz,Shuqiang Jiang,Xiangyang Li,"
61,"Nicholas Rhinehart,Kris M. Kitani,"
62,"Yingying Zhang,Desen Zhou,Siqin Chen,Shenghua Gao,Yi Ma,"
63,"Junting Pan,Elisa Sayrol,Xavier Giro-i-Nieto,Kevin McGuinness,Noel E. O'Connor,"
64,"Mohammad Najafi,Sarah Taghavi Namin,Mathieu Salzmann,Lars Petersson,"
65,"Saumitro Dasgupta,Kuan Fang,Kevin Chen,Silvio Savarese,"
66,"Siyu Zhu,Richard Zanibbi,"
67,"Xiaodan Liang,Yunchao Wei,Xiaohui Shen,Zequn Jie,Jiashi Feng,Liang Lin,Shuicheng Yan,"
68,"Yao Lu,Xue Bai,Linda Shapiro,Jue Wang,"
69,"Yong-Jin Liu,Cheng-Chi Yu,Min-Jing Yu,Ying He,"
70,"Gayoung Lee,Yu-Wing Tai,Junmo Kim,"
71,"Ziyu Zhang,Sanja Fidler,Raquel Urtasun,"
72,"Nian Liu,Junwei Han,"
73,"Rong Quan,Junwei Han,Dingwen Zhang,Feiping Nie,"
74,"Won-Dong Jang,Chulwoo Lee,Chang-Su Kim,"
75,"Renjiao Yi,Jue Wang,Ping Tan,"
76,"Luca Del Pero,Susanna Ricco,Rahul Sukthankar,Vittorio Ferrari,"
77,"Federico Perazzi,Jordi Pont-Tuset,Brian McWilliams,Luc Van Gool,Markus Gross,Alexander Sorkine-Hornung,"
78,"Mahmudul Hasan,Jonghyun Choi,Jan Neumann,Amit K. Roy-Chowdhury,Larry S. Davis,"
79,"Nicolas Maerki,Federico Perazzi,Oliver Wang,Alexander Sorkine-Hornung,"
80,"Zhang Zhang,Kaiqi Huang,Tieniu Tan,Peipei Yang,Jun Li,"
81,"Abhinav Shrivastava,Abhinav Gupta,Ross Girshick,"
82,"Kaiming He,Xiangyu Zhang,Shaoqing Ren,Jian Sun,"
83,"Joseph Redmon,Santosh Divvala,Ross Girshick,Ali Farhadi,"
84,"Spyros Gidaris,Nikos Komodakis,"
85,"Qian Yu,Feng Liu,Yi-Zhe Song,Tao Xiang,Timothy M. Hospedales,Chen-Change Loy,"
86,"Shuran Song,Jianxiong Xiao,"
87,"Kai Kang,Wanli Ouyang,Hongsheng Li,Xiaogang Wang,"
88,"Judy Hoffman,Saurabh Gupta,Trevor Darrell,"
89,"Neelima Chavali,Harsh Agrawal,Aroma Mahendru,Dhruv Batra,"
90,"Tao Kong,Anbang Yao,Yurong Chen,Fuchun Sun,"
91,"Dim P. Papadopoulos,Jasper R. R. Uijlings,Frank Keller,Vittorio Ferrari,"
92,"Wanli Ouyang,Xiaogang Wang,Cong Zhang,Xiaokang Yang,"
93,"Guy Rosman,Daniela Rus,John W. Fisher III,"
94,"Patrick Bardow,Andrew J. Davison,Stefan Leutenegger,"
95,"Achuta Kadambi,Jamie Schiel,Ramesh Raskar,"
96,"Huaijin G. Chen,Suren Jayasuriya,Jiyue Yang,Judy Stephen,Sriram Sivaramakrishnan,Ashok Veeraraghavan,Alyosha Molnar,"
97,"Katherine L. Bouman,Michael D. Johnson,Daniel Zoran,Vincent L. Fish,Sheperd S. Doeleman,William T. Freeman,"
98,"Chuang Gan,Ting Yao,Kuiyuan Yang,Yi Yang,Tao Mei,"
99,"Fanyi Xiao,Yong Jae Lee,"
100,"Gao Zhu,Fatih Porikli,Hongdong Li,"
101,"Hongkai Yu,Youjie Zhou,Jeff Simmons,Craig P. Przybyla,Yuewei Lin,Xiaochuan Fan,Yang Mi,Song Wang,"
102,"Alexandre Alahi,Kratarth Goel,Vignesh Ramanathan,Alexandre Robicquet,Li Fei-Fei,Silvio Savarese,"
103,"Andrii Maksai,Xinchao Wang,Pascal Fua,"
104,"Ting Yao,Tao Mei,Yong Rui,"
105,"Bugra Tekin,Artem Rozantsev,Vincent Lepetit,Pascal Fua,"
106,"Michael Gygli,Yale Song,Liangliang Cao,"
107,"Amir Shahroudy,Jun Liu,Tian-Tsong Ng,Gang Wang,"
108,"Bingbing Ni,Xiaokang Yang,Shenghua Gao,"
109,"Pingbo Pan,Zhongwen Xu,Yi Yang,Fei Wu,Yueting Zhuang,"
110,"Jingjing Meng,Hongxing Wang,Junsong Yuan,Yap-Peng Tan,"
111,"Zheng Shou,Dongang Wang,Shih-Fu Chang,"
112,"Ke Zhang,Wei-Lun Chao,Fei Sha,Kristen Grauman,"
113,"Yeong Jun Koh,Won-Dong Jang,Chang-Su Kim,"
114,"Waqas Sultani,Mubarak Shah,"
115,"Lu Zhang,Hayley Hung,"
116,"Ziwei Liu,Ping Luo,Shi Qiu,Xiaogang Wang,Xiaoou Tang,"
117,"Hua Zhang,Si Liu,Changqing Zhang,Wenqi Ren,Rui Wang,Xiaochun Cao,"
118,"Xiaofan Zhang,Feng Zhou,Yuanqing Lin,Shaoting Zhang,"
119,"Feng Zhou,Yuanqing Lin,"
120,"Xiaopeng Zhang,Hongkai Xiong,Wengang Zhou,Weiyao Lin,Qi Tian,"
121,"Han Zhang,Tao Xu,Mohamed Elhoseiny,Xiaolei Huang,Shaoting Zhang,Ahmed Elgammal,Dimitris Metaxas,"
122,"Yin Cui,Feng Zhou,Yuanqing Lin,Serge Belongie,"
123,"Yaming Wang,Jonghyun Choi,Vlad Morariu,Larry S. Davis,"
124,"Shaoli Huang,Zhe Xu,Dacheng Tao,Ya Zhang,"
125,"Kevin Lin,Jiwen Lu,Chu-Song Chen,Jie Zhou,"
126,"Kilho Son,daniel Moreno,James Hays,David B. Cooper,"
127,"Zhen Zhang,Qinfeng Shi,Julian McAuley,Wei Wei,Yanning Zhang,Anton van den Hengel,"
128,"Takumi Kobayashi,"
129,"Mor Dar,Yael Moses,"
130,"Albert Haque,Alexandre Alahi,Li Fei-Fei,"
131,"Li Zhang,Tao Xiang,Shaogang Gong,"
132,"Tong Xiao,Hongsheng Li,Wanli Ouyang,Xiaogang Wang,"
133,"Shanshan Zhang,Rodrigo Benenson,Mohamed Omran,Jan Hosang,Bernt Schiele,"
134,"Dapeng Chen,Zejian Yuan,Badong Chen,Nanning Zheng,"
135,"Ying Zhang,Baohua Li,Huchuan Lu,Atshushi Irie,Xiang Ruan,"
136,"Faqiang Wang,Wangmeng Zuo,Liang Lin,David Zhang,Lei Zhang,"
137,"Haoxiang Li,Jonathan Brandt,Zhe Lin,Xiaohui Shen,Gang Hua,"
138,"Peixi Peng,Tao Xiang,Yaowei Wang,Massimiliano Pontil,Shaogang Gong,Tiejun Huang,Yonghong Tian,"
139,"Jiale Cao,Yanwei Pang,Xuelong Li,"
140,"Niall McLaughlin,Jesus Martinez del Rincon,Paul Miller,"
141,"De Cheng,Yihong Gong,Sanping Zhou,Jinjun Wang,Nanning Zheng,"
142,"Jinjie You,Ancong Wu,Xiang Li,Wei-Shi Zheng,"
143,"Yeong-Jun Cho,Kuk-Jin Yoon,"
144,"Tetsu Matsukawa,Takahiro Okabe,Einoshin Suzuki,Yoichi Sato,"
145,"Lijun Wang,Wanli Ouyang,Xiaogang Wang,Huchuan Lu,"
146,"Juan-Manuel Perez-Rua,Tomas Crivelli,Patrick Bouthemy,Patrick Perez,"
147,"Ju Hong Yoon,Chang-Ryeol Lee,Ming-Hsuan Yang,Kuk-Jin Yoon,"
148,"Luca Bertinetto,Jack Valmadre,Stuart Golodetz,Ondrej Miksik,Philip H. S. Torr,"
149,"Jiaolong Yang,Hongdong Li,Yuchao Dai,Robby T. Tan,"
150,"Ran Tao,Efstratios Gavves,Arnold W.M. Smeulders,"
151,"Martin Danelljan,Gustav Hager,Fahad Shahbaz Khan,Michael Felsberg,"
152,"Adel Bibi,Tianzhu Zhang,Bernard Ghanem,"
153,"Zhen Cui,Shengtao Xiao,Jiashi Feng,Shuicheng Yan,"
154,"Ferran Diego,Fred A. Hamprecht,"
155,"Maksim Lapin,Matthias Hein,Bernt Schiele,"
156,"Valentina Zantedeschi,Remi Emonet,Marc Sebban,"
157,"Ziming Zhang,Yuting Chen,Venkatesh Saligrama,"
158,"Saeid Motiian,Marco Piccirilli,Donald A. Adjeroh,Gianfranco Doretto,"
159,"Hossein Rahmani,Ajmal Mian,"
160,"David F. Fouhey,Abhinav Gupta,Andrew Zisserman,"
161,"Zhile Ren,Erik B. Sudderth,"
162,"Iro Armeni,Ozan Sener,Amir R. Zamir,Helen Jiang,Ioannis Brilakis,Martin Fischer,Silvio Savarese,"
163,"Lingyu Wei,Qixing Huang,Duygu Ceylan,Etienne Vouga,Hao Li,"
164,"Joseph DeGol,Mani Golparvar-Fard,Derek Hoiem,"
165,"Abhijit Bendale,Terrance E. Boult,"
166,"Peng Wang,Lingqiao Liu,Chunhua Shen,Zi Huang,Anton van den Hengel,Heng Tao Shen,"
167,"Torsten Sattler,Michal Havlena,Konrad Schindler,Marc Pollefeys,"
168,"Mark Wolff,Robert T. Collins,Yanxi Liu,"
169,"R. T. Pramod,S. P. Arun,"
170,"Timo Hackel,Jan D. Wegner,Konrad Schindler,"
171,"Yin Li,Manohar Paluri,James M. Rehg,Piotr Dollar,"
172,"Jinshan Pan,Deqing Sun,Hanspeter Pfister,Ming-Hsuan Yang,"
173,"Jiwon Kim,Jung Kwon Lee,Kyoung Mu Lee,"
174,"Jiwon Kim,Jung Kwon Lee,Kyoung Mu Lee,"
175,"Rang M. H. Nguyen,Michael S. Brown,"
176,"Kede Ma,Qingbo Wu,Zhou Wang,Zhengfang Duanmu,Hongwei Yong,Hongliang Li,Lei Zhang,"
177,"Dana Berman,Tali treibitz,Shai Avidan,"
178,"Seonghyeon Nam,Youngbae Hwang,Yasuyuki Matsushita,Seon Joo Kim,"
179,"Qi Xie,Qian Zhao,Deyu Meng,Zongben Xu,Shuhang Gu,Wangmeng Zuo,Lei Zhang,"
180,"Wei-Sheng Lai,Jia-Bin Huang,Zhe Hu,Narendra Ahuja,Ming-Hsuan Yang,"
181,"Minh Vo,Srinivasa G. Narasimhan,Yaser Sheikh,"
182,"Ajad Chhatkuli,Daniel Pizarro,Toby Collins,Adrien Bartoli,"
183,"Johan Fredriksson,Viktor Larsson,Carl Olsson,Fredrik Kahl,"
184,"Haifei Huang,Hui Zhang,Yiu-ming Cheung,"
185,"Maximilian Diebold,Bernd Jahne,Alexander Gatto,"
186,"Anders Eriksson,John Bastian,Tat-Jun Chin,Mats Isaksson,"
187,"Kyungdon Joo,Tae-Hyun Oh,Junsik Kim,In So Kweon,"
188,"Kai Han,Kwan-Yee K. Wong,Dirk Schnieders,Miaomiao Liu,"
189,"Guibo Luo,Yuesheng Zhu,Zhaotian Li,Liming Zhang,"
190,"Yinqiang Zheng,Laurent Kneip,"
191,"Zuzana Kukelova,Jan Heller,Andrew Fitzgibbon,"
192,"Lior Talker,Yael Moses,Ilan Shimshoni,"
193,"Martin Danelljan,Giulia Meneghetti,Fahad Shahbaz Khan,Michael Felsberg,"
194,"Dong Gong,Mingkui Tan,Yanning Zhang,Anton van den Hengel,Qinfeng Shi,"
195,"Eduardo Perez-Pellitero,Jordi Salvador,Javier Ruiz-Hidalgo,Bodo Rosenhahn,"
196,"Jochen Gast,Anita Sellent,Stefan Roth,"
197,"Zhe Hu,Lu Yuan,Stephen Lin,Ming-Hsuan Yang,"
198,"Radu Timofte,Rasmus Rothe,Luc Van Gool,"
199,"Wenzhe Shi,Jose Caballero,Ferenc Huszar,Johannes Totz,Andrew P. Aitken,Rob Bishop,Daniel Rueckert,Zehan Wang,"
200,"Xiaojun Chang,Yao-Liang Yu,Yi Yang,Eric P. Xing,"
201,"Minghuang Ma,Haoqi Fan,Kris M. Kitani,"
202,"Yang Zhou,Bingbing Ni,Richang Hong,Xiaokang Yang,Qi Tian,"
203,"Fabian Caba Heilbron,Juan Carlos Niebles,Bernard Ghanem,"
204,"Basura Fernando,Peter Anderson,Marcus Hutter,Stephen Gould,"
205,"Christoph Feichtenhofer,Axel Pinz,Andrew Zisserman,"
206,"Shugao Ma,Leonid Sigal,Stan Sclaroff,"
207,"Yingwei Li,Weixin Li,Vijay Mahadevan,Nuno Vasconcelos,"
208,"Bharat Singh,Tim K. Marks,Michael Jones,Oncel Tuzel,Ming Shao,"
209,"Mostafa S. Ibrahim,Srikanth Muralidharan,Zhiwei Deng,Arash Vahdat,Greg Mori,"
210,"Ivan Lillo,Juan Carlos Niebles,Alvaro Soto,"
211,"Wangjiang Zhu,Jie Hu,Gang Sun,Xudong Cao,Yu Qiao,"
212,"Eng-Jon Ong,Miroslaw Bober,"
213,"Jae-Pil Heo,Zhe Lin,Xiaohui Shen,Jonathan Brandt,Sung-eui Yoon,"
214,"Xiaojuan Wang,Ting Zhang,Guo-Jun Qi,Jinhui Tang,Jingdong Wang,"
215,"Patrick Wieschollek,Oliver Wang,Alexander Sorkine-Hornung,Hendrik P. A. Lensch,"
216,"Ting Zhang,Jingdong Wang,"
217,"Thi Quynh Nhi Tran,Herve Le Borgne,Michel Crucianu,"
218,"Artem Babenko,Victor Lempitsky,"
219,"Haomiao Liu,Ruiping Wang,Shiguang Shan,Xilin Chen,"
220,"Ahmet Iscen,Michael Rabbat,Teddy Furon,"
221,"Theodora Kontogianni,Markus Mathias,Bastian Leibe,"
222,"Jia-Bin Huang,Rich Caruana,Andrew Farnsworth,Steve Kelling,Narendra Ahuja,"
223,"Ilja Kuzborskij,Fabio Maria Carlucci,Barbara Caputo,"
