,0
67,"Shifeng Zhang,Longyin Wen,Xiao Bian,Zhen Lei,Stan Z. Li,"
68,"Xin Wang,Wenhu Chen,Jiawei Wu,Yuan-Fang Wang,William Yang Wang,"
69,"Damien Teney,Peter Anderson,Xiaodong He,Anton van den Hengel,"
70,"Ronghang Hu,Piotr Dollár,Kaiming He,Trevor Darrell,Ross Girshick,"
71,"Chao Li,Cheng Deng,Ning Li,Wei Liu,Xinbo Gao,Dacheng Tao,"
72,"Bohan Zhuang,Qi Wu,Chunhua Shen,Ian Reid,Anton van den Hengel,"
73,"Xiaopeng Zhang,Jiashi Feng,Hongkai Xiong,Qi Tian,"
74,"Wenguan Wang,Yuanlu Xu,Jianbing Shen,Song-Chun Zhu,"
75,"Vinay Kumar Verma,Gundeep Arora,Ashish Mishra,Piyush Rai,"
76,"Jiajiong Cao,Yingming Li,Zhongfei Zhang,"
77,"Julian Faraone,Nicholas Fraser,Michaela Blott,Philip H.W. Leong,"
78,"Florian Bernard,Christian Theobalt,Michael Moeller,"
79,"Ying Zhang,Tao Xiang,Timothy M. Hospedales,Huchuan Lu,"
80,"Shixing Chen,Caojin Zhang,Ming Dong,"
81,"Artem Rozantsev,Mathieu Salzmann,Pascal Fua,"
82,"Kwang In Kim,Juhyun Park,James Tompkin,"
83,"Arda Senocak,Tae-Hyun Oh,Junsik Kim,Ming-Hsuan Yang,In So Kweon,"
84,"Spyros Gidaris,Nikos Komodakis,"
85,"Peisong Wang,Qinghao Hu,Yifan Zhang,Chunjie Zhang,Yang Liu,Jian Cheng,"
86,"Nick Johnston,Damien Vincent,David Minnen,Michele Covell,Saurabh Singh,Troy Chinen,Sung Jin Hwang,Joel Shor,George Toderici,"
87,"Fabian Mentzer,Eirikur Agustsson,Michael Tschannen,Radu Timofte,Luc Van Gool,"
88,"Nicki Skafte Detlefsen,Oren Freifeld,Søren Hauberg,"
89,"Maxim Berman,Amal Rannen Triki,Matthew B. Blaschko,"
90,"Omid Poursaeed,Isay Katsman,Bicheng Gao,Serge Belongie,"
91,"Xin Yu,Zhiding Yu,Srikumar Ramalingam,"
92,"Can Kanbak,Seyed-Mohsen Moosavi-Dezfooli,Pascal Frossard,"
93,"Hao Zhu,Hao Su,Peng Wang,Xun Cao,Ruigang Yang,"
94,"Soumava Kumar Roy,Zakaria Mhammedi,Mehrtash Harandi,"
95,"Mikaela Angelina Uy,Gim Hee Lee,"
96,"Xiyu Yu,Tongliang Liu,Mingming Gong,Kayhan Batmanghelich,Dacheng Tao,"
97,"Yin Zhou,Oncel Tuzel,"
98,"Zak Murez,Soheil Kolouri,David Kriegman,Ravi Ramamoorthi,Kyungnam Kim,"
99,"Mark Sandler,Andrew Howard,Menglong Zhu,Andrey Zhmoginov,Liang-Chieh Chen,"
100,"Chengjie Niu,Jun Li,Kai Xu,"
101,"Hendrik Schilling,Maximilian Diebold,Carsten Rother,Bernd Jähne,"
102,"Bingbing Zhuang,Loong-Fah Cheong,Gim Hee Lee,"
103,"Yiru Shen,Chen Feng,Yaoqing Yang,Dong Tian,"
104,"Loic Landrieu,Martin Simonovsky,"
105,"Siyu Zhu,Runze Zhang,Lei Zhou,Tianwei Shen,Tian Fang,Ping Tan,Long Quan,"
106,"Angela Dai,Daniel Ritchie,Martin Bokeloh,Scott Reed,Jürgen Sturm,Matthias Nießner,"
107,"Ziquan Lan,David Hsu,Gim Hee Lee,"
108,"Jae-Seong Yun,Jae-Young Sim,"
109,"Saining Xie,Sainan Liu,Zeyu Chen,Zhuowen Tu,"
110,"Miaomiao Liu,Xuming He,Mathieu Salzmann,"
111,"Hyeongwoo Kim,Michael Zollhöfer,Ayush Tewari,Justus Thies,Christian Richardt,Christian Theobalt,"
112,"Xuan Cao,Zhang Chen,Anpei Chen,Xin Chen,Shiying Li,Jingyi Yu,"
113,"Yanping Fu,Qingan Yan,Long Yang,Jie Liao,Chunxia Xiao,"
114,"Eric Brachmann,Carsten Rother,"
115,"Mahdi Rad,Markus Oberweger,Vincent Lepetit,"
116,"Pyojin Kim,Brian Coltin,H. Jin Kim,"
117,"Albert Pumarola,Antonio Agudo,Lorenzo Porzi,Alberto Sanfeliu,Vincent Lepetit,Francesc Moreno-Noguer,"
118,"Fereshteh Sadeghi,Alexander Toshev,Eric Jang,Sergey Levine,"
119,"Ke Ma,Zhixin Shu,Xue Bai,Jue Wang,Dimitris Samaras,"
